TUCASEID,TULINENO,TURRP,TESEX,TERRP,TEAGE,TXSEX,TXRRP,TXAGE
20040101040003,1,18,1,18,71,0,0,0
20040101040060,1,19,2,19,30,0,0,0
20040101040060,3,21,1,21,23,0,0,0
20040101040060,4,40,1,40,11,0,0,0
20040101040079,1,18,1,18,29,0,0,0
20040101040079,2,20,2,20,26,0,0,0
20040101040079,3,22,1,22,2,0,0,0
20040101040080,1,18,1,18,16,0,0,0
20040101040080,2,26,1,26,41,0,0,0
20040101040080,3,24,2,24,38,0,0,0
20040101040110,1,19,1,19,42,0,0,0
20040101040502,1,18,1,18,47,0,0,0
20040101040502,2,20,2,20,49,0,0,0
20040101040513,1,18,2,18,75,0,0,0
20040101040513,2,20,1,20,77,0,0,0
20040101040534,1,19,2,19,76,0,0,0
20040101040540,1,19,2,19,61,0,0,0
20040101040558,1,18,1,18,45,0,0,0
20040101040558,2,20,2,20,34,0,0,0
20040101040558,3,22,1,22,13,0,0,0
20040101040558,4,22,2,22,9,0,0,0
20040101040558,5,22,2,22,2,0,0,0
20040101040559,1,18,2,18,68,0,0,0
20040101040559,2,20,1,20,71,0,0,0
20040101040561,1,18,1,18,36,0,0,0
20040101040561,2,20,2,20,28,0,0,0
20040101040589,1,18,2,18,25,0,0,0
20040101040589,2,20,1,20,27,0,0,0
20040101040589,3,22,1,22,1,0,0,0
20040101040590,1,18,2,18,40,0,0,0
20040101040590,2,20,1,20,42,0,0,0
20040101040590,4,22,2,22,14,0,0,0
20040101040590,5,26,1,26,13,0,0,0
20040101040599,1,19,2,19,77,0,0,0
20040101040600,1,18,1,18,78,0,0,0
20040101040600,2,20,2,20,78,0,0,0
20040101040601,1,18,1,18,32,0,0,0
20040101040601,2,20,2,20,28,0,0,0
20040101040601,3,22,1,22,2,0,0,0
20040101040604,1,18,1,18,32,0,0,0
20040101040604,2,20,2,20,32,0,0,0
20040101040617,1,18,1,18,32,0,0,0
20040101040617,2,24,2,24,52,0,0,0
20040101040617,3,25,1,25,32,0,0,0
20040101040639,1,19,2,19,80,0,0,0
20040101040657,1,18,2,18,52,0,0,0
20040101040657,2,20,1,20,56,0,0,0
20040101040657,4,22,1,22,24,0,0,0
20040101040678,1,18,2,18,16,0,0,0
20040101040678,2,24,2,24,46,0,0,0
20040101040678,3,24,1,24,45,0,0,0
20040101040678,4,25,1,25,14,0,0,0
20040101040679,1,18,1,18,54,0,0,0
20040101040679,2,20,2,20,54,0,0,0
20040101040690,1,18,2,18,80,0,0,60
20040101040690,2,20,1,20,80,0,0,60
20040101040704,1,18,2,18,28,0,0,0
20040101040704,2,22,1,22,4,0,0,0
20040101040704,3,22,1,22,3,0,0,0
20040101040704,4,22,2,22,9,0,0,0
20040101040707,1,18,1,18,36,0,0,0
20040101040707,2,24,1,24,78,0,0,0
20040101040707,3,24,2,24,77,0,0,0
20040101040725,1,19,1,19,75,0,0,0
20040101040726,1,18,2,18,31,0,0,0
20040101040726,2,20,1,20,42,0,0,0
20040101040726,3,22,1,22,4,0,0,0
20040101040726,4,22,1,22,1,0,0,0
20040101040737,1,18,1,18,57,0,0,0
20040101040737,2,20,2,20,44,0,0,0
20040101040737,3,22,2,22,20,0,0,0
20040101040737,4,22,1,22,9,0,0,0
20040101040755,1,18,2,18,43,0,0,0
20040101040755,2,20,1,20,46,0,0,0
20040101040763,1,19,1,19,52,0,0,0
20040101040774,1,18,1,18,15,0,0,0
20040101040774,2,24,2,24,51,0,0,0
20040101040774,3,24,1,24,55,0,0,0
20040101040786,1,18,2,18,22,0,0,0
20040101040786,2,24,1,24,58,0,0,0
20040101040786,3,24,2,24,50,0,0,0
20040101040787,1,18,1,18,40,0,0,0
20040101040787,2,20,2,20,29,0,0,0
20040101040787,3,22,2,22,4,0,0,0
20040101040787,4,22,1,22,1,0,0,0
20040101040796,1,18,2,18,29,0,0,0
20040101040796,2,20,1,20,28,0,0,0
20040101040796,3,22,1,22,5,0,0,0
20040101040796,4,22,1,22,0,0,0,0
20040101040811,1,18,2,18,27,0,0,0
20040101040811,3,22,2,22,13,0,0,0
20040101040814,1,18,2,18,44,0,0,0
20040101040814,2,22,2,22,18,0,0,0
20040101040814,3,22,1,22,18,0,0,0
20040101040814,4,22,1,22,16,0,0,0
20040101040854,1,18,2,18,56,0,0,0
20040101040854,2,20,1,20,53,0,0,0
20040101040854,3,22,2,22,35,0,0,0
20040101040854,4,23,1,23,8,0,0,0
20040101040870,1,19,2,19,80,0,0,60
20040101040906,1,18,1,18,33,0,0,0
20040101040906,2,22,1,22,1,0,0,0
20040101040906,3,21,2,21,28,0,0,0
20040101040914,1,18,1,18,25,0,0,0
20040101040914,2,22,2,22,2,0,0,0
20040101040914,3,25,1,25,23,0,0,0
20040101040914,4,25,1,25,17,0,0,0
20040101040914,5,26,1,26,18,0,0,0
20040101040914,6,20,2,20,23,0,0,0
20040101040914,7,22,1,22,0,0,0,0
20040101040943,1,18,2,18,37,0,0,0
20040101040943,2,28,1,28,33,0,0,0
20040101040947,1,18,1,18,37,0,0,0
20040101040947,2,20,2,20,35,0,0,0
20040101040958,1,19,1,19,60,0,0,0
20040101040960,1,19,2,19,29,0,0,0
20040101040960,2,22,1,22,5,0,0,0
20040101040964,1,18,1,18,55,0,0,0
20040101040964,2,20,2,20,51,0,0,0
20040101040964,3,22,1,22,11,0,0,0
20040101041012,1,18,2,18,54,0,0,0
20040101041012,2,20,1,20,79,0,0,0
20040101041035,1,18,1,18,65,0,0,0
20040101041035,2,20,2,20,64,0,0,0
20040101041035,3,22,1,22,41,0,0,0
20040101041044,1,18,2,18,46,0,0,0
20040101041044,2,22,1,22,14,0,0,0
20040101041044,3,22,2,22,6,0,0,0
20040101041044,4,22,1,22,0,0,0,0
20040101041052,1,19,2,19,25,0,0,0
20040101041066,1,18,1,18,26,0,0,0
20040101041066,2,20,2,20,25,0,0,0
20040101041066,3,22,1,22,0,0,0,0
20040101041066,4,26,1,26,55,0,0,0
20040101041069,1,18,1,18,69,0,0,0
20040101041069,2,20,2,20,64,0,0,0
20040101041075,1,18,1,18,23,0,0,0
20040101041075,2,24,1,24,56,0,0,0
20040101041075,3,24,2,24,56,0,0,0
20040101041075,4,26,2,26,80,0,0,60
20040101041104,1,19,2,19,50,0,0,0
20040101041122,1,19,2,19,72,0,0,0
20040101041122,2,22,1,22,48,0,0,0
20040101041127,1,18,1,18,49,0,0,0
20040101041127,2,20,2,20,49,0,0,0
20040101041127,3,22,1,22,15,0,0,0
20040101041127,4,22,2,22,9,0,0,0
20040101041145,1,18,2,18,52,0,0,0
20040101041145,2,20,1,20,62,0,0,0
20040101041145,4,22,2,22,22,0,0,0
20040101041157,1,18,2,18,55,0,0,0
20040101041157,2,20,1,20,55,0,0,0
20040101041164,1,18,1,18,50,0,0,0
20040101041164,2,20,2,20,49,0,0,0
20040101041164,3,26,1,26,20,0,0,0
20040101041169,1,18,1,18,73,0,0,0
20040101041169,2,20,2,20,70,0,0,0
20040101041184,1,18,1,18,35,0,0,0
20040101041184,2,20,2,20,34,0,0,0
