TUCASEID,TULINENO,TEAGE,TERRP,TESEX,TXAGE,TXRRP,TXSEX
20050101050006,1,51,18,2,0,0,0
20050101050006,2,56,20,1,0,0,0
20050101050012,1,42,18,2,0,0,0
20050101050012,2,42,20,1,0,0,0
20050101050012,3,2,22,1,0,0,0
20050101050012,4,2,22,2,0,0,0
20050101050020,1,47,19,1,0,0,0
20050101050040,1,21,19,2,0,0,0
20050101050043,1,49,18,2,0,0,0
20050101050043,2,57,20,1,0,0,0
20050101050049,1,44,18,1,0,0,0
20050101050049,2,12,22,2,0,0,0
20050101050051,1,46,18,1,0,0,0
20050101050051,2,36,20,2,0,0,0
20050101050051,3,18,22,1,0,0,0
20050101050062,1,24,19,2,0,0,0
20050101050098,1,30,18,2,0,0,0
20050101050098,2,30,20,1,0,0,0
20050101050098,3,9,22,2,0,0,0
20050101050098,4,5,22,1,0,0,0
20050101050113,1,26,19,1,0,0,0
20050101050113,2,25,21,2,0,0,0
20050101050115,1,31,18,1,0,0,0
20050101050115,2,30,20,2,0,0,0
20050101050115,3,12,22,2,0,0,0
20050101050115,4,11,22,2,0,0,0
20050101050115,5,8,22,2,0,0,0
20050101050115,6,6,22,2,0,0,0
20050101050115,7,4,22,2,0,0,0
20050101050115,8,0,22,2,0,0,0
20050101050119,1,32,19,1,0,0,0
20050101050127,1,43,18,2,0,0,0
20050101050127,3,13,22,1,0,0,0
20050101050139,1,30,19,1,0,0,0
20050101050146,1,22,18,2,0,0,0
20050101050146,2,32,20,1,0,0,0
20050101050146,3,3,22,2,0,0,0
20050101050146,4,1,22,2,0,0,0
20050101050159,1,80,19,1,60,0,0
20050101050502,1,62,18,2,0,0,0
20050101050502,2,57,20,1,0,0,0
20050101050538,1,39,18,2,0,0,0
20050101050538,3,13,22,1,0,0,0
20050101050561,1,38,18,2,0,0,0
20050101050561,2,43,20,1,0,0,0
20050101050561,3,16,22,2,0,0,0
20050101050561,4,13,22,1,0,0,0
20050101050561,5,7,22,2,0,0,0
20050101050561,6,4,22,1,0,0,0
20050101050568,1,57,19,1,0,0,0
20050101050568,2,56,20,2,0,0,0
20050101050574,1,40,18,1,0,0,0
20050101050574,2,35,21,2,0,0,0
20050101050574,3,13,22,1,0,0,0
20050101050574,4,11,22,2,0,0,0
20050101050574,5,5,22,1,0,0,0
20050101050574,6,5,22,2,0,0,0
20050101050601,1,61,18,1,0,0,0
20050101050601,2,56,20,2,0,0,0
20050101050628,1,15,18,1,0,0,0
20050101050628,2,42,24,2,0,0,0
