"","m1","m2","m3","m4","m5","m6","m7","m8","m9","m10","m11","m12","m13","m14","m15","m16","m17","m18"
"","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se"
"work_paper","-0.00904","-0.01538","0.06293","-0.32416**","-0.20263***","-0.32191*","0.18811*","0.01227","-1.28080***","-0.43631*","-0.17508**","-0.43022***","0.23822**","-0.47740","0.56645","0.21461","0.21349***","0.06548"
"","0.01051","0.00906","0.04265","0.12299","0.05878","0.12891","0.07871","0.03066","0.28558","0.19308","0.06165","0.07985","0.08259","0.27169","0.30772","0.26019","0.05978","0.03455"
"0.male","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.male","0.04655","-0.06434","-0.13711","-3.33576***","-3.20497***","1.37167***","-1.40821***","-0.09426","5.87258***","4.99131***","0.59571","0.09391","-2.14369***","2.33533***","-2.38192***","-0.79597*","-0.90514***","-0.51461***"
"","0.05351","0.07134","0.09991","0.35361","0.21538","0.33700","0.30181","0.11087","0.57312","0.62709","0.40552","0.32064","0.25417","0.49071","0.55576","0.33878","0.22009","0.14644"
"0.married","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.married","-0.00383","-0.16053*","1.76108***","3.13139***","2.90543***","-1.26340*","1.27675**","0.21261","-7.18111***","-4.30980***","-0.04616","-2.30483***","1.69823***","-2.21855","2.45300","0.20134","1.61786***","0.06994"
"","0.07738","0.06609","0.27103","0.70834","0.31288","0.59126","0.45305","0.18747","1.66538","0.88427","0.44139","0.63080","0.41576","1.28525","1.64199","1.29767","0.33350","0.26460"
"0.black","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.black","-0.00541","0.03241","-0.32010","-3.46986***","-1.82167***","-1.16196***","-0.57461***","0.08837","2.44891***","3.51570***","-0.16673","0.73442","-0.93555**","-0.69892*","1.31405*","0.21605","0.94768***","0.23119***"
