"","m1","m2","m3","m4","m5","m6","m7","m8","m9","m10","m11","m12","m13","m14","m15","m16","m17","m18"
"","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se"
"work_paper",".0158954",".0324775",".0695171","-.4182145***","-.1911764**","-.4143609***",".1578847**",".0294382","-1.430414***","-.5489647**","-.3242282***","-.3581944***",".2615223***","-.4605494**",".7307389***",".4200705*",".1880659***",".0810451***"
"",".0220981",".0255781",".0471713",".1129253",".0772633",".1457245",".0707738",".0287676",".1603844",".2341839",".0872381",".0779292",".0912611",".2231103",".2108823",".2151513",".0394992",".0211165"
"female_workpaper","-.0339005","-.0282361","-.0277692",".1443087**","-.0408859",".1826485**",".0289329","-.0263868",".2956652",".2229966",".3181047***","-.1365535","-.0592729","-.0496097","-.3500682","-.3788301***",".0192886","-.0258233"
"",".0290568",".0317243",".0970357",".0630852",".1067332",".0907107",".0676899",".0426883",".2821244",".2206402",".1005408",".0885236",".0927014",".1753814",".223662",".134637",".0558933",".049592"
"0.female","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.female",".6239215",".6267847",".6615041",".5928219","4.150632*","-5.10322***",".8493616",".6960485","-12.0093**","-9.585884**","-7.307259***","2.999011","3.261779*","-1.376945","9.504265**","8.710798***",".4272078","1.02658"
"",".5744014",".6289928","2.033967","1.468781","2.279425","1.976606","1.330976",".8385902","5.961948","4.728899","2.013698","1.868999","1.972525","3.493662","4.725503","2.804971","1.19037","1.070509"
"0.married","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.married","-.1536001","-.3650071**",".1835404","3.645543***","-.081526","4.394999***","-.4155547","-.2523751","1.237835",".4750622",".0581727",".0873107",".0707121",".5465773","-4.548311***","-2.987715**","-.5077291","-.697202***"
"",".2125404",".1818227",".3224387",".7323862",".5619487",".9317898",".4450099",".2224275","1.256654","1.31186",".6729961",".5788109",".5621281","1.319573","1.629983","1.465806",".3857243",".1873667"
"0.black","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.black",".0089413",".0697366","-.3229499*","-3.599167***","-1.733733***","-1.434883***","-.54079***",".1102396","1.968134***","3.215603***","-.5734536**",".8809672*","-.782594***","-.7723885**","1.875304***",".6731929","1.006266***",".2645858***"
"",".050074",".0587689",".1680566",".295357",".1268826",".2975251",".174494",".1130778",".62572",".4110833",".2410094",".4905497",".2813009",".3698038",".7145311",".5511394",".2226615",".0693773"
"age","-.0073837","-.0384623","-.0054734","1.164391***",".6918843***",".7629708***","-.3016192**",".0111548","1.196783**",".9380603**","-.1163899",".4355297***","-.6457692***",".5853517","-2.309854***","-1.573775***","-.4580361***","-.1121423*"
"",".0248349",".0329808",".0720354",".2392386",".1200276",".236909",".1340031",".0640229",".4805221",".3831525",".1574941",".1406828",".1563626",".5240579",".5314377",".5111483",".0887774",".0578704"
"age_sq",".0000803",".0003927",".0004099","-.0114656***","-.0067866***","-.0086643***",".0039363**",".0000489","-.0144128**","-.0080018*","-.0001927","-.0066635***",".0075621***","-.0071168",".0249955***",".0152916**",".0058835***",".001745**"
"",".0002971",".000393",".0008719",".0028956",".0014266",".0028792",".0016057",".0007683",".0059447",".0046797",".0018478",".0016663",".0018963",".006464",".0065356",".0062626",".0010811",".0007064"
"0.educ1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.educ1","-.0188246","-.0988123","-1.100967*","-3.780123***","-2.06323***","-3.141457***","1.072764",".3517999","-4.223681","3.077296","-.6304679","-.2977331",".5655205","-6.938296**","9.222408***","5.67082*","2.158596***","1.182817***"
"",".1510727",".1891242",".5672601","1.396505",".6606736","1.190488",".7554588",".3205814","3.107189","2.276946",".7922462",".6911169",".7875659","3.450907","3.239338","3.060616",".5526366",".3280664"
"0.educ2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.educ2","-.0720237","-.0786021","-.3171043","-.1172216",".0813531","-.5628553","-.0151349",".3794155***",".8050702","5.703286***","-.5382291",".8858418**","-.9485013***","-4.297328***","-.2201186","-.6237327",".0809384",".4759526***"
"",".0591585",".0832767",".297017",".366265",".2752816",".3841446",".3577138",".1307311","1.467575",".7666706",".3304465",".3458416",".3614666","1.158667","1.305376","1.092319",".2893073",".1752502"
"0.educ3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.educ3",".0093956","-.0788121","-.288536*","-.0568156","-.2439497","-.5044458",".2978461",".3937337***","-1.718691","2.062998***","-.0933064","-.0706975","-.3405901","-3.277095***","2.133459*","1.521335",".280298",".4007554**"
"",".0573183",".0936641",".1603728",".5347328",".2889642",".3893243",".2715746",".1068471","1.140953",".6639514",".292387",".3213262",".3043686","1.019548","1.18776","1.071018",".2238973",".1746118"
"0.hv_child","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.hv_child","-.2573832","-.1648905","10.96966***","1.583561","1.88487**",".5057866","-.3639769","-.4431188","-2.424121","-.1389741","3.222027***","-1.095973","-2.224904**","-2.186297*","-9.706827***","-8.04226***","-1.239185***","-.4840142*"
"",".4394219",".1763814","1.155915","1.212958",".7391089",".9985533",".7043757",".3790104","2.11176","2.140105",".8611997","1.039965",".9140342","1.18902","2.053388","1.454663",".4106249",".2822325"
"num_child",".0630568","-.0334334","-.4067408**",".255385",".2621263",".0938529","-.0851115","-.0154826","-1.413098**","-1.165163***","-.5808198***","-.0893291",".1575409",".2646732","1.53483**",".9255309*",".4255186**",".0009557"
"",".1197119",".0350063",".1665803",".3718445",".2291496",".2482203",".1706512",".0792438",".5617449",".3407572",".1951859",".2568059",".2525287",".3154195",".7094876",".5010204",".172708",".0728673"
