"","m1","m2","m3","m4","m5","m6","m7","m8","m9","m10","m11","m12","m13","m14","m15","m16","m17","m18"
"","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se"
"work_paper","-0.00123","0.09004","0.25898","-0.02076","-0.05157","-0.16354","0.09686","0.09750","-3.14263*","-1.40445*","-0.94371","-0.34653","0.51431","-0.96226*","1.81561","1.54128","0.10819","-0.02882"
"","0.09627","0.10859","0.21276","0.26071","0.15382","0.11310","0.09491","0.06881","1.47521","0.60099","0.51634","0.37473","0.30910","0.44254","1.41649","1.36046","0.10061","0.11755"
"female_workpaper","-0.01463","-0.13529","-0.75528","0.06227","0.15026","0.00288","0.22753","-0.31840","0.28195","0.99665","0.82843","-1.15001","-0.11561","-0.27750","0.56098","0.35419","0.09995","0.12462"
"","0.12502","0.11502","0.43919","0.55073","0.29574","0.22896","0.38924","0.21667","2.77597","0.84060","0.59932","0.89840","0.51506","1.50948","2.47813","1.92732","0.23017","0.23556"
"married_workpaper","-0.01000","0.18289","0.01108","-0.65347","-0.22455","-1.63142","1.13992","0.06258","2.44308","1.24815","0.99922","-0.02224","0.09818","0.11977","-1.97357","-2.38492","0.75392","0.11855"
"","0.20178","0.51549","0.93535","1.90853","1.33714","3.14686","2.37956","0.52829","1.91652","1.81578","0.89717","1.22735","0.74146","1.34856","1.88920","2.17225","1.60627","0.27175"
"female_married_workpaper","0.00349","-0.14547","0.68717","-0.00982","-0.21881","1.60630","-1.50104","0.10373","-0.31805","-0.97509","-0.72783","1.11515","-0.37736","0.64708","-0.21732","0.38813","-0.66783","-0.25737"
"","0.21621","0.48371","0.93536","2.11862","1.21431","3.09604","2.24085","0.43704","2.86820","1.91172","1.02996","1.18255","0.69041","1.65506","2.39354","2.90966","1.63358","0.32703"
"0.female","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.female","0.38226","2.71709","25.22166**","2.94290","-0.31647","2.79589","-6.55577","7.01924","-28.71812","-30.53659","-27.80198","24.91817","5.52823","-0.82595","-2.54577","0.62499","-2.55568","-2.68475"
"","3.30291","2.43186","9.51579","16.12734","7.75427","5.52085","5.65482","4.61197","63.76774","23.00797","15.11674","18.62823","11.63716","33.23260","56.09596","45.23440","5.08350","5.92965"
"0.married","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.married","0.36871","-9.57427","-6.02127","26.47644","8.57555","70.29528","-46.68789","-5.70650","-81.13486","-35.23021","-29.84485","-7.49464","-7.51617","-1.04899","69.88525","87.11542","-30.57483","-4.11781"
"","7.97481","22.07984","40.97571","75.18440","54.35718","132.17957","101.74295","22.61227","66.84187","67.09295","34.37230","50.52119","33.50303","63.10183","67.61193","76.69877","67.77242","10.34358"
"0.female#0.married","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.female#1.married","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.female#0.married","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.female#1.married","-0.15510","8.96878","-5.74337","-7.70467","5.32273","-71.94512","56.52202","2.39570","16.19882","20.56800","21.57093","-20.99673","16.84261","-21.78599","-11.56448","-36.03486","30.56097","7.05567"
"","7.98751","21.80220","40.94026","79.91441","51.19577","132.81169","99.99223","20.11348","66.39583","67.77093","36.78979","42.47059","31.38171","61.50817","48.54569","82.97479","69.13916","10.56372"
"0.black","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.black","0.07343","0.25760","0.15645","-2.35076*","-1.54153*","-0.94228","-0.68313","0.81618*","2.73731","0.91308","-0.76524","2.40807","-0.78087","0.96228","-0.87404","-0.65029","-0.00447","-0.02126"
"","0.11526","0.25524","0.90967","0.93738","0.60546","1.27024","1.16525","0.39742","3.51541","0.93619","1.02555","2.00359","1.02865","1.59779","3.51694","2.87863","0.75265","0.33628"
"age","-0.00198","-0.10080","0.42514","1.10135","0.61410","1.04981","-0.68711","0.12456","4.48390","1.57687**","0.31112","1.76146","-1.24763*","2.08209","-5.90761","-4.80253","-0.69998","-0.09458"
"","0.12071","0.22159","0.39300","0.85780","0.43113","0.91685","0.70026","0.18507","3.75292","0.55064","0.84983","1.33600","0.59022","1.70019","3.52465","3.45223","0.54037","0.14288"
"age_sq","0.00003","0.00136","-0.00509","-0.01144","-0.00581","-0.01397","0.00949","-0.00115","-0.04743","-0.01391*","-0.00360","-0.02076","0.01435*","-0.02351","0.06256","0.04874","0.00931","0.00149"
"","0.00144","0.00311","0.00504","0.01181","0.00607","0.01479","0.01100","0.00242","0.04221","0.00710","0.01014","0.01461","0.00726","0.01988","0.03864","0.03901","0.00816","0.00160"
"0.educ1","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.educ1","-0.03952","0.15718","-3.68943","-0.07068","1.28559","-3.55115","2.72256","-0.52768","-12.72930","-0.11173","-1.21075","-3.67906","2.51077","-10.23852","16.37176","11.85435","3.17630","0.52226"
"","0.44821","0.82724","1.93959","3.05590","1.52729","3.57069","2.64194","0.82706","12.12046","2.53862","2.74089","4.26473","1.88501","6.05922","11.15364","10.95962","1.92972","0.46373"
"0.educ2","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.educ2","-0.00578","-0.06409","-1.93721*","2.05141*","2.01788**","-0.26263","0.05458","0.24158","4.92440","6.73644***","1.40531","1.41691","-1.84480**","-2.78946","-4.96873","-4.94513","0.20683","0.30640"
"","0.21088","0.17994","0.97967","0.93467","0.69449","1.02910","0.97491","0.20641","3.25919","1.46533","1.07384","0.95828","0.63046","1.51967","3.04012","2.74299","0.49465","0.32298"
"0.educ3","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.educ3","0.04471","-0.05285","-1.13282","0.53685","0.31257","-0.38497","0.24083","0.36841","3.10745","3.67656***","0.60496","1.03169","-1.09171*","-1.11404","-2.50334","-2.85026","0.41967","0.15463"
"","0.14374","0.21024","0.66439","0.69271","0.59718","1.17364","0.88835","0.26495","2.41415","1.03865","0.54906","1.10197","0.43107","0.88305","2.55575","2.41963","0.49679","0.17709"
"1.hv_child","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"num_child","0.05475","-0.07469","-0.09921","0.52208","0.25386","0.81383","-0.62865","0.08304","-1.67239","-1.58433","-1.03363*","0.46349","-0.01427","0.49634","1.26947","0.97801","0.05076","-0.08417"
"","0.18682","0.26425","0.39430","1.01992","0.67421","1.44582","1.13208","0.21646","1.75950","1.15382","0.48987","0.55637","0.51699","0.86034","1.73478","1.62391","0.77361","0.15010"
"age_youngest","0.00785","-0.01403","-0.42404**","0.10257","-0.07428","0.37120","-0.24248","0.04813","-0.66980","-0.53775","-0.35353","0.10127","0.10790","0.01232","0.99746","1.04627","-0.11707","-0.04345"
"","0.06696","0.11109","0.15807","0.47944","0.31253","0.63744","0.45982","0.11093","0.73367","0.54182","0.26590","0.28775","0.17211","0.28246","0.65187","0.70233","0.33285","0.08492"
"0.female#1.hv_child","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.female#1.hv_child","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.female#c.num_child","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.female#c.num_child","-0.12168","-0.06963","0.16016","0.50998","0.97692","-1.06823","1.07218","-0.47089","-3.12496","0.68681","1.02415","-3.23468","0.34586","-1.94709","2.64614","1.67882","0.66074","0.13137"
"","0.24783","0.18687","0.72829","1.65432","0.96970","0.99818","0.77620","0.37331","5.44475","1.66436","0.90106","1.70229","0.88329","2.70575","4.82707","4.20287","0.63261","0.39307"
"0.female#c.age_youngest","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.female#c.age_youngest","-0.00756","-0.01512","-0.89121***","0.04679","0.02367","-0.20113","0.29687","-0.07262","1.00009","0.59084","0.39489","-0.21364","-0.01710","0.24510","-0.13300","-0.20163","0.07822","0.07680"
"","0.07394","0.07240","0.14051","0.39815","0.21271","0.38815","0.24613","0.08074","0.89422","0.49106","0.28421","0.25327","0.18037","0.41255","0.79794","0.74957","0.21955","0.11355"
"_cons","0.24290","0.34621","-1.81716","-11.35119","-5.93813","-14.54911","12.97218","-3.83612","117.21859*","20.11690","31.86347**","43.61056*","20.18505**","1.44262","63.36065","50.94894","8.85391","2.30196"
"","1.79621","3.01746","5.89184","19.46427","10.18193","18.77215","12.43213","3.67861","50.33458","18.07124","10.23985","17.22052","7.47998","24.95714","43.04924","40.28755","10.18625","3.94078"
"N","14296","14296","14296","14296","14296","14296","14296","14296","14296","14296","14296","14296","14296","14296","14296","14296","14296","14296"
