"","m1","m2","m3","m4","m5","m6","m7","m8","m9","m10","m11","m12","m13","m14","m15","m16","m17","m18"
"","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se"
"work_paper","-.0181154",".0044632",".0401989","-.272042**","-.2327375***","-.226785***",".1842908***",".0031897","-1.129877***","-.3263967",".0003787","-.4945857***",".1993825**","-.5086559",".3753723",".036627",".2078495***",".0543053"
"",".0117535",".0161795",".0700134",".122177",".0711999",".0801585",".0708566",".0403091",".3571065",".1990426",".083634",".0718699",".0814883",".3148395",".3420417",".2958626",".0647399",".0472675"
"1.female","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"",".",".","",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.married","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.married","-.0255449","-.186458***","1.420882***","3.32773***","2.657521***","-.5253978*","1.074472***",".1211348","-5.761591***","-3.048563***","-.1618022","-2.171212***","1.504964***","-1.884978*","1.224982","-.5698845","1.325447***","-.0847951"
"",".0583764",".0640953",".322711",".5789676",".2882096",".3071135",".4091512",".1850473","1.619501",".7171888",".3716016",".673655",".3732911","1.142909","1.38372","1.063284",".3553849",".2704041"
"0.black","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.black",".1381203**",".1501711*","-.8492584***","-3.429939***","-1.930471***","-.5812676**","-.903359***","-.0148405","3.195256***","3.229843***","-.4713197","1.566863**","-.9051384***","-.2249927",".7956496","-.0785127",".831183***",".1384939"
"",".0688999",".090522",".2516757",".4949419",".2763248",".2848044",".2226868",".1324671",".687735",".6012941",".2995019",".6088606",".2895538",".6776363",".7363984",".4778784",".2559652",".1464297"
"age",".0238825","-.0087544",".0573573","1.038001***",".790004***",".4430814***","-.2582815*",".0631971",".6614264",".5099732","-.3056777*",".4998871***","-.5516206***",".5088645","-1.771913***","-1.116849**","-.4117652***","-.0483803"
"",".0159177",".0294484",".1307426",".2118508",".1164349",".1411616",".1324541",".076847",".6286936",".3345722",".1779113",".1523776",".1411477",".5396262",".5720156",".4972629",".1189482",".0937757"
"age_sq","-.0003085",".0000321","-.0002903","-.0096489***","-.0073826***","-.00508***",".0033664**","-.0005527","-.0082552","-.0037521",".0029914","-.0076126***",".0063429***","-.0062248",".0184709**",".009622",".0054231***",".0010049"
"",".0002085",".0003502",".0015842",".0026076",".0014449",".0017527",".0015653",".0009314",".0078203",".0041916",".0020621",".0017949",".0017272",".0067117",".0071815",".0062205",".0014379",".0011267"
"0.educ1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.educ1","-.2340527","-.2142881","-1.675684*","-1.754236","-.7762651","-2.939555***","1.575451",".3861335","-3.741466","3.444306","1.442308","-1.174125",".4812556","-7.93521*","7.619727","3.41621","2.580551***","1.028039*"
"",".163484",".2322469","1.008178","1.697823","1.052841","1.114139","1.042518",".5529902","5.084509","2.837832","1.085887","1.107513","1.117914","4.572754","4.86323","4.121197",".9028096",".6145171"
"0.educ2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.educ2","-.1257579*","-.1576577",".0743233",".1824095",".7803635","-1.155906**",".2702208",".2877311*","-.1412748","5.014144***","-.3786934",".5226453","-.6748389","-4.624532***",".1679576","-.4611768",".0217979",".6418997***"
"",".06649",".0996836",".4676809",".6199773",".5081749",".4603377",".5030158",".1724196","2.029215","1.083535",".4707097",".5182011",".4670591","1.534916","1.8432","1.57403",".3627255",".2470827"
"0.educ3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
