"","m1","m2","m3","m4","m5","m6","m7","m8","m9","m10","m11","m12","m13","m14","m15","m16","m17","m18"
"","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se"
"work_paper","-0.13573","0.00358","0.49735","-0.35451","0.14546","-0.28345*","-0.04560","-0.17093**","-1.15641","-0.50194**","0.04750","-0.36242*","0.26819","-0.60773*","0.14572","-0.17507","0.35583","-0.12615"
"","0.09826","0.00969","0.37549","0.34305","0.26492","0.15442","0.20801","0.07472","0.74233","0.23318","0.16603","0.21607","0.17956","0.33969","0.29720","0.17877","0.22200","0.13123"
"single_workpaper","0.11577","0.01262","-0.42201","-0.30641","-0.61063**","0.02239","0.11285","0.16898*","0.40083","0.17814","0.02253","0.01362","-0.08216","0.26871","0.19920","0.17978","-0.15111","0.17145"
"","0.08910","0.01483","0.36136","0.48485","0.30608","0.13419","0.23025","0.09531","0.78243","0.26214","0.26006","0.24568","0.13531","0.27798","0.29294","0.14882","0.24876","0.12422"
"0.black","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.black","0.15896","0.03931","-1.80586***","-1.31501","0.19559","-0.07991","-1.09876**","-0.33193","2.48630***","3.38015***","-1.10332**","1.48958","-1.17922**","-0.10088","0.43630","0.11605","0.68403**","-0.05672"
"","0.25352","0.10105","0.66112","1.08774","0.82721","0.59455","0.50234","0.33758","0.76679","1.01909","0.54727","0.97314","0.48838","1.17494","0.55986","0.27876","0.29185","0.40483"
"age","0.02706","-0.02759","-0.41580***","1.21599***","0.70423***","0.52949***","-0.10573","0.08801","-0.01330","0.15694","-0.26992","0.19816","-0.41542***","0.31694","-0.78637***","-0.13181","-0.31487*","-0.12983"
"","0.02086","0.02140","0.14248","0.30998","0.18715","0.16762","0.11843","0.11895","0.29999","0.37557","0.22305","0.22860","0.15224","0.32615","0.27073","0.09792","0.17173","0.09182"
"age_sq","-0.00037","0.00031","0.00419**","-0.01366***","-0.00796***","-0.00630***","0.00140","-0.00080","-0.00053","-0.00118","0.00312","-0.00405","0.00525***","-0.00368","0.01006***","0.00099","0.00466**","0.00165"
"","0.00028","0.00025","0.00172","0.00391","0.00240","0.00217","0.00146","0.00140","0.00351","0.00480","0.00271","0.00269","0.00180","0.00417","0.00331","0.00117","0.00207","0.00109"
"0.educ1","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.educ1","-0.65972","0.03754","-0.28565","-0.95010","2.85032*","-2.85586**","-0.79783","-0.14673","-0.47091","2.46672","2.48781***","3.34956**","-0.39485","-8.38015***","2.32884","-1.08712","2.49112**","0.64666"
"","0.45032","0.07934","1.60317","1.69336","1.49299","1.28293","1.15071","0.65964","3.17438","2.33129","0.87150","1.53887","1.13078","2.88332","2.12991","0.93957","1.20412","0.79116"
"0.educ2","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.educ2","-0.24833**","-0.02938","0.56424","-0.76918","0.99825","-0.95358*","-0.74994","-0.06391","0.98444","4.72536***","0.06985","0.89590","-0.55237","-4.15429***","-0.50180","-0.70434**","-0.06734","0.32035"
"","0.12473","0.04655","0.89088","0.79967","0.78793","0.55373","0.57267","0.22365","1.19219","0.74626","0.41133","0.71340","0.50098","1.03353","0.81063","0.34880","0.54992","0.24324"
"0.educ3","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
