"","m1","m2","m3","m4","m5","m6","m7","m8","m9","m10","m11","m12","m13","m14","m15","m16","m17","m18"
"","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se"
"work_paper","0.00557","-0.00800","-0.11346*","0.16224","-0.05518","-0.18040***","0.35473***","0.04309","-1.53600*","-0.31503","-0.08401","-0.67433***","0.20493**","-0.66757","0.48965","0.14255","0.18961**","0.09835"
"","0.02811","0.04017","0.05850","0.23293","0.09187","0.06465","0.13676","0.06335","0.80409","0.24278","0.16006","0.18418","0.09661","0.50972","0.72250","0.61619","0.09347","0.10131"
"single_workpaper","-0.04157","0.02187","0.26972***","-0.76229***","-0.31166**","-0.08142","-0.29917**","-0.07004","0.71286","-0.01995","0.14812","0.31549","-0.00973","0.27894","-0.20059","-0.18592","0.03202","-0.07730"
"","0.04754","0.04396","0.07010","0.25838","0.15114","0.05069","0.13426","0.06984","0.77799","0.17067","0.18637","0.24636","0.08190","0.34674","0.68270","0.55877","0.11299","0.11419"
"0.married","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.married","0.85968","-0.65215","-4.32224***","19.55906***","9.29366***","1.20828","7.44466**","1.61246","-20.94052","-2.62368","-3.31567","-8.88898*","1.71221","-7.82440","5.49616","3.38890","0.64361","1.56123"
"","1.01396","0.95897","1.32533","5.49112","3.01544","0.89145","2.90755","1.57266","17.88606","3.78314","4.21095","5.20261","1.79938","8.41072","15.73655","12.97802","2.30071","2.59280"
"0.black","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.black","0.14632*","0.14586*","-0.90248***","-3.27953***","-1.86898***","-0.56520**","-0.84433***","-0.00102","3.05460***","3.23378***","-0.50055*","1.50461**","-0.90322***","-0.28003","0.83523","-0.04183","0.82486***","0.15375"
"","0.07497","0.08568","0.33907","0.46547","0.22342","0.27500","0.31772","0.12207","0.72731","0.59508","0.28847","0.65314","0.28703","0.65852","0.73012","0.45509","0.24797","0.16264"
"age","0.00628","0.00051","0.17156","0.71524**","0.65804***","0.40861***","-0.38495**","0.03354","0.96326","0.50152","-0.24296","0.63347***","-0.55574***","0.62697","-1.85685**","-1.19557","-0.39821***","-0.08111"
"","0.02284","0.04686","0.11686","0.30756","0.12836","0.12858","0.18395","0.08866","0.97814","0.35563","0.22418","0.22244","0.14739","0.68988","0.85552","0.73740","0.13066","0.12922"
"age_sq","-0.00010","-0.00008","-0.00162","-0.00589","-0.00585***","-0.00468***","0.00484**","-0.00021","-0.01177","-0.00365","0.00226","-0.00917***","0.00639***","-0.00760","0.01946*","0.01054","0.00527***","0.00139"
"","0.00029","0.00055","0.00143","0.00373","0.00155","0.00161","0.00217","0.00107","0.01189","0.00444","0.00259","0.00265","0.00180","0.00847","0.01048","0.00902","0.00157","0.00154"
"0.educ1","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.educ1","-0.09167","-0.28919","-2.59945***","0.85652","0.29114","-2.66070***","2.60007*","0.62601","-6.18295","3.51265","0.93502","-2.25466","0.51459","-8.89055","8.30673","4.05297","2.47088**","1.29280"
"","0.16761","0.35796","0.94160","2.37927","1.00653","1.01747","1.46321","0.68634","7.85769","3.07915","1.39119","1.68860","1.23210","5.73862","7.11466","6.03666","1.00202","0.92008"
"0.educ2","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.educ2","-0.13375*","-0.15345","0.12619","0.03581","0.72043","-1.17156**","0.21269","0.27426","-0.00418","5.01031***","-0.35021","0.58332","-0.67671","-4.57089***","0.12938","-0.49693","0.02796","0.62703**"
"","0.07176","0.09353","0.53660","0.78862","0.55918","0.47159","0.52271","0.17630","2.00220","1.07205","0.48407","0.48971","0.46293","1.50769","1.74689","1.50001","0.36427","0.24982"
"0.educ3","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.educ3","0.02720","-0.12684","-0.46582*","0.19958","0.08781","-0.61699**","0.39908","0.32968**","-1.05306","2.20460***","0.27547","-0.13906","-0.31891","-3.07515**","1.41894","0.93905","0.19878","0.35243"
"","0.10671","0.09521","0.24455","0.72097","0.53840","0.28656","0.39256","0.15294","1.79180","0.81290","0.40765","0.51796","0.30296","1.25661","1.62796","1.38807","0.30274","0.26643"
"0.hv_child","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.hv_child","0.02390","-0.13524","19.25192***","0.24142","2.17490***","-0.81066*","-0.49272","-0.63011**","-13.82935***","-2.41199**","-1.28085**","-2.48551***","-1.48762***","-6.16338***","-5.55266***","-5.49150***","-0.33920","0.03363"
"","0.14674","0.08688","0.72910","0.75118","0.55828","0.46468","0.57886","0.28064","2.04912","1.20532","0.54988","0.79330","0.47894","1.61631","2.02002","1.53269","0.43477","0.37977"
"num_child","-0.04134","-0.01590","0.66184***","1.17831**","0.97882***","-0.44092**","0.59819***","0.04223","-3.56503***","-1.48267***","-0.33476","-1.46214***","0.30847","-0.59393","1.78212**","0.63601","0.64847***","0.07869"
