"","m1","m2","m3","m4","m5","m6","m7","m8","m9","m10","m11","m12","m13","m14","m15","m16","m17","m18"
"","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se"
"work_paper","-0.12841","0.14827","0.89138","-4.73745","-1.32971","0.22631","-2.93965","-0.69441","0.16086","-4.99907","-0.23166","0.84883","1.94663","2.59613","2.66535","1.38892","-0.06247","0.75228"
"","0.54293","0.67078","3.25891","18.02608","5.18171","0.76344","10.98170","2.71925","4.87856","18.04280","1.38565","3.91708","6.84522","12.95929","10.40602","5.86114","0.43362","2.72388"
"single_workpaper","0.09795","-0.12667","-0.64787","3.84545","0.87205","-0.44600","2.83035","0.58905","-0.83070","4.67824","0.26810","-1.16743","-1.75647","-2.85315","-2.33817","-1.39787","0.25361","-0.70617"
"","0.53126","0.65680","3.14784","17.67808","5.13045","0.73493","10.75934","2.66399","4.90187","17.75242","1.32509","3.83744","6.75902","12.83593","10.15331","5.69392","0.41700","2.66204"
"0.married","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.married","-2.71112","3.52552","19.72676","-106.07621","-22.33127","11.94823","-78.71216","-16.98101","19.07174","-131.95354","-6.61525","31.06970","49.37667","77.19416","66.46329","38.10613","-5.22070","19.72448"
"","14.61308","18.03547","86.74053","486.37649","140.99174","20.29627","295.96488","73.57438","134.73714","487.98177","36.86141","105.92302","185.71884","352.63095","279.36097","156.87464","11.46229","73.16898"
"1.spouse_emp","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.black","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.black","0.14211","0.15162","-2.11398**","-2.10475","-0.37882","-0.03645","-1.70830","0.01883","2.45322","0.70931","-1.72553**","1.63146","-0.34003","2.17801","1.47178","0.88053","0.16090","0.26727"
"","0.32920","0.24813","1.05273","7.11204","2.02283","0.76520","4.69046","1.27857","2.66060","8.40870","0.73742","1.69473","3.08032","6.97615","4.20182","2.41250","0.59122","1.18798"
"age","0.04762","-0.03354","-0.44664","1.13284","0.56344","0.45841**","-0.01516","0.12615","0.10341","-0.06394","-0.43400**","0.29060","-0.33819","0.64893","-0.80369","-0.11040","-0.39748*","-0.11901"
"","0.04501","0.04658","0.28768","1.18935","0.42155","0.17886","0.75673","0.21727","0.60033","1.42329","0.16854","0.33364","0.56306","1.12237","0.73206","0.36461","0.20756","0.20478"
