"","m1","m2","m3","m4","m5","m6","m7","m8","m9","m10","m11","m12","m13","m14","m15","m16","m17","m18"
"","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se"
"work_paper","-0.09322","-0.06760","0.04152","-0.54396","-0.08776","-0.37380","0.17104","-0.25344","-4.31642","-1.03624","-0.17433","-1.72163","0.38853","-1.77275","3.97968","3.36980","0.27992","0.07304"
"","0.13665","0.11066","0.16934","0.48186","0.35831","0.39668","0.38839","0.26995","4.43801","1.02778","0.49149","1.35980","0.43629","2.09907","4.75428","4.04636","0.28938","0.20726"
"single_workpaper","0.11580","0.07380","-0.20536","0.82545","0.03955","0.23934","0.19705","0.34951","3.36191","0.85920","0.11026","1.28058","-0.21991","1.33178","-4.17159","-3.84137","-0.11565","0.02505"
"","0.13360","0.11557","0.19186","0.59600","0.38792","0.40524","0.41437","0.28881","4.11938","1.06960","0.44923","1.32880","0.41997","1.87087","4.58693","3.91033","0.25704","0.23319"
"0.black","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.black","0.21184","0.24798*","-0.37530","-3.28635***","-2.54657***","-0.57510","-0.54175","0.37707","5.37437","3.73448***","-0.08667","2.31574","-0.93313*","0.34396","-2.17254","-3.02338","0.83720**","0.20735"
"","0.16039","0.13318","0.48029","0.71030","0.52202","0.39641","0.56259","0.30195","3.69918","0.72925","0.57574","1.70110","0.51042","1.93682","4.26138","3.56572","0.41113","0.23680"
"age","0.01825","0.02778","0.40577***","0.60565*","0.54794***","0.38613*","-0.42950","0.10109","2.08301","0.75731","-0.20609","1.05126","-0.59754**","1.07807","-3.14046","-2.45425","-0.40476*","-0.07899"
"","0.07676","0.07422","0.13583","0.36418","0.20474","0.22173","0.26961","0.15164","2.78850","0.60209","0.38223","0.77512","0.25963","1.41571","2.77117","2.35565","0.21559","0.18824"
"age_sq","-0.00007","-0.00032","-0.00454***","-0.00297","-0.00422**","-0.00400*","0.00576**","-0.00050","-0.02068","-0.00516","0.00175","-0.01258","0.00654**","-0.01123","0.02857","0.01979","0.00511**","0.00151"
"","0.00078","0.00081","0.00164","0.00420","0.00215","0.00219","0.00287","0.00150","0.02831","0.00627","0.00407","0.00771","0.00267","0.01483","0.02745","0.02332","0.00234","0.00218"
"0.educ1","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.educ1","-0.34172","-0.84026","-2.75700**","-0.33589","0.00515","-3.73855","3.87267","-0.47515","-22.69443","0.86732","-0.32414","-10.28231","1.63269","-14.58799","26.96930","20.72164","3.11809","1.61160"
"","0.84183","0.83408","1.39695","3.24848","2.30637","2.51604","2.57818","1.75995","30.64491","6.90043","3.71704","8.78537","3.06531","15.71960","31.79554","27.09863","2.24024","1.45371"
"0.educ2","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.educ2","0.01653","-0.35525","-0.39972","2.04852*","0.95357*","-1.38859***","1.76112*","0.72241*","-1.84495","5.40882***","-0.91269","-0.24790","-0.78368","-5.30950*","0.53486","-0.63509","0.21831","0.99368"
"","0.16041","0.24789","0.55200","1.18674","0.55507","0.53326","0.97131","0.37971","5.69349","1.98011","1.09801","1.90950","0.82407","2.99319","5.23941","4.35170","0.46222","0.65629"
"0.educ3","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.educ3","0.22304","-0.24420","-0.92137*","2.96040**","0.59876","-0.67185","1.96493**","1.06856***","-0.37824","2.71026","-0.00673","-0.35424","-0.41560","-2.31193","-1.63964","-2.61214","0.48114","0.79118"
"","0.21167","0.20077","0.51799","1.44541","0.66798","0.45430","0.82525","0.28797","1.98443","1.70372","0.93660","0.92649","0.51029","1.58448","2.64889","2.26483","0.37431","0.84627"
"0.hv_child","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.hv_child","0.39739","0.16267","11.83780***","3.96503**","2.98434***","0.83761","0.07340","0.06969","-0.96371","0.57646","-0.99138","1.36492","-2.69692**","0.78321","-15.39919","-14.23178","-0.50390","0.44261"
"","0.44366","0.37854","1.02480","1.68378","1.09163","1.20515","1.36835","0.76069","12.03973","3.59343","1.46004","3.89312","1.35416","5.20963","12.79218","11.22752","0.85047","0.62092"
"num_child","-0.04961","-0.04906","0.46426*","1.32628*","0.77587**","-0.34695","0.65700**","0.24035","-3.63023","-1.49063*","-0.67309*","-0.92135","0.58001*","-1.12517","1.93835","1.19424","0.34546","-0.01168"
"","0.11055","0.08462","0.25951","0.70264","0.38366","0.24833","0.30189","0.20112","2.86185","0.89242","0.38157","0.90631","0.33052","1.34248","2.86101","2.53754","0.31416","0.21616"
"age_k","-2.14499","-1.38134","13.27659***","-12.81995","2.35096","-4.36260","-3.98466","-6.82365","-65.12302","-15.45614","-2.03352","-23.41739","1.82523","-26.04119","68.19271","63.22926","1.42153","-0.39367"
"","2.46758","2.07921","3.82152","10.94964","7.13567","7.44169","7.53659","5.35947","75.23924","19.57739","8.20876","23.90558","7.50669","34.24082","84.14500","71.89372","4.77862","4.03794"
