"","m1","m2","m3","m4","m5","m6","m7","m8","m9","m10","m11","m12","m13","m14","m15","m16","m17","m18"
"","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se"
"work_paper","-.0360042",".0138741*",".1562567*","-.6000475***","-.3668415***","-.2618194***",".0555609","-.0269474","-.8231388***","-.3349829*",".0641125","-.3588319***",".1951944**","-.388631**",".2890597**","-.0433727",".2216281***",".0210421"
"",".0244277",".0083096",".0937478",".1464532",".1101419",".0967968",".0681637",".0449474",".1415869",".1932302",".0861828",".1106145",".0869464",".1904218",".1304417",".0667925",".0774671",".0425264"
"single_workpaper",".041574","-.021871","-.2697204***",".7622904***",".3116602**",".0814207",".2991705**",".070039","-.7128649",".0199544","-.1481185","-.3154942",".0097332","-.2789398",".2005919",".1859206","-.0320218",".0773042"
"",".0475371",".0439556",".0700999",".2583758",".1511437",".0506907",".1342649",".0698416",".7779874",".1706711",".186369",".2463584",".0819002",".3467397",".6826957",".5587672",".1129911",".1141933"
"0.single","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.single","-.8596838",".6521538","4.322235***","-19.55907***","-9.293655***","-1.20828","-7.444666**","-1.612466","20.94052","2.623676","3.315667","8.888984*","-1.712212","7.824402","-5.496156","-3.388895","-.6436112","-1.561232"
"","1.013965",".9589712","1.325329","5.491125","3.015441",".8914548","2.907547","1.57266","17.88606","3.783142","4.210948","5.202608","1.799379","8.41072","15.73655","12.97802","2.300714","2.592803"
"0.black","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.black",".1463233*",".1458557*","-.9024775***","-3.279529***","-1.868977***","-.5652023**","-.844329***","-.0010209","3.054599***","3.23378***","-.5005452*","1.504612**","-.9032179***","-.2800309",".8352288","-.0418283",".8248647***",".153747"
"",".0749657",".0856826",".3390702",".4654701",".223416",".2749978",".3177227",".1220719",".7273108",".5950801",".2884655",".6531398",".2870295",".6585192",".7301228",".4550852",".2479675",".1626409"
