"","m1","m2","m3","m4","m5","m6","m7","m8","m9","m10","m11","m12","m13","m14","m15","m16","m17","m18"
"","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se"
"work_paper","-0.02095","-0.00688","0.19049","-0.61451***","-0.34582**","-0.18146**","-0.03275","-0.05448","-0.72271**","-0.13104","0.16193*","-0.40259***","0.11565","-0.46666***","0.17456","-0.10984","0.29068**","-0.04099"
"","0.03479","0.00980","0.18418","0.18413","0.17359","0.09212","0.10596","0.03633","0.34569","0.16705","0.09555","0.10373","0.11983","0.12448","0.13655","0.10678","0.11878","0.04331"
"single_workpaper","0.00276","-0.02755","-0.66875***","0.63664","0.42564","-0.03370","0.39415","-0.14945","-2.10561","-0.27932","-0.28650","-1.06897","0.30178","-0.77259","2.16252","1.96185","-0.06197","0.13466"
"","0.09025","0.06253","0.25288","0.43964","0.33623","0.17585","0.29429","0.18570","2.40598","0.32606","0.41517","0.99163","0.33894","1.31807","2.47760","2.08590","0.27675","0.14344"
"0.single","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.single","-0.04580","1.06861","13.91274**","-17.90438","-13.41637","1.81091","-10.54790","4.24898","61.10822","9.55751","5.92950","31.45221","-8.83632","23.00532","-58.13939","-50.44557","-0.43582","-3.15471"
"","2.26143","1.63130","6.59259","11.39278","8.21085","4.70224","8.02350","4.92070","64.83023","8.60335","11.04562","26.42010","9.08415","35.35648","66.22653","55.78700","6.95024","3.85995"
"0.black","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.black","0.36369**","0.21108*","-0.80261","-2.32405**","-2.12076***","0.02082","-0.68616","0.46206*","5.71123","2.82248***","-0.12455","2.91769","-1.68565*","1.78127","-3.15934","-2.53170","-0.55246","0.16071"
"","0.17676","0.12509","1.05763","1.17942","0.78559","0.40889","0.83544","0.27624","4.13567","0.80935","0.95555","2.23873","0.91699","2.15362","3.97248","3.35487","0.38802","0.36539"
"age","0.01520","0.07938","1.06386*","1.18667","0.74494","0.50722","-0.47582","0.41034","3.79061","0.61915","-0.26695","2.47592","-0.96953","1.93202","-6.13574","-5.10298","-0.52668","-0.16011"
"","0.11862","0.10542","0.59077","0.88995","0.54736","0.36815","0.68729","0.34508","5.02781","0.63410","0.83629","1.95015","0.67242","2.63707","4.77271","4.07365","0.39558","0.29956"
"age_sq","-0.00016","-0.00097","-0.01263*","-0.01136","-0.00644","-0.00578","0.00536","-0.00450","-0.04242","-0.00491","0.00280","-0.02932","0.01091","-0.02189","0.06755","0.05493","0.00653","0.00212"
"","0.00137","0.00121","0.00698","0.01028","0.00634","0.00429","0.00796","0.00397","0.05783","0.00731","0.00958","0.02230","0.00775","0.03042","0.05479","0.04672","0.00454","0.00340"
"0.educ1","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.educ1","-0.26840","-0.53093","-6.37358*","2.14121","4.30482**","-2.64075","2.06251","-1.58537","-15.51672","2.28341","0.85939","-8.39050","2.24624","-12.51526","20.54842","14.77197","3.61833**","0.51717"
"","0.41763","0.47462","3.47927","3.30734","2.11286","1.83047","3.12014","1.48531","19.92275","3.66150","3.08318","7.83854","3.29983","10.59110","19.02316","16.00524","1.66557","1.09206"
"0.educ2","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.educ2","-0.15378","-0.16270**","0.00028","2.25063**","3.49871***","-0.75332","-0.54928","0.05451","0.20815","4.57875***","0.02502","1.01814","-1.20589***","-4.20787***","-2.14258","-2.96172","0.64001","0.19211"
