"","m1","m2","m3","m4","m5","m6","m7","m8","m9","m10","m11","m12","m13","m14","m15","m16","m17","m18"
"","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se"
"work_paper","0.02381","0.02926","0.11858","-0.59158*","-0.15362","-0.89524**","0.38932","0.06795","-1.26565**","-0.39787","-0.08005","-0.42254","0.27325","-0.63843","0.68559","0.10987","0.47383","0.13093*"
"","0.02625","0.04068","0.19615","0.27470","0.30224","0.33161","0.31272","0.07044","0.41571","0.47386","0.22433","0.30242","0.19247","0.38246","0.36953","0.06131","0.27565","0.05288"
"female_workpaper","-0.05947","-0.01525","0.04291","-0.02172","-0.21761","0.62433","-0.33325","-0.09519","0.44209","0.06319","0.13543","0.06689","-0.07529","0.25188","-0.38856","-0.14553*","-0.25188","-0.10889"
"","0.03827","0.03805","0.23569","0.35195","0.32447","0.37211","0.31377","0.06475","0.44057","0.32187","0.24781","0.30293","0.15287","0.39477","0.45086","0.06854","0.28818","0.07431"
"married_workpaper","-0.01175","0.00478","-0.07223","0.25547","-0.05593","0.71107","-0.34263","-0.05704","-0.24281","-0.22347","-0.36094","0.09554","-0.01735","0.26341","0.06655","0.45855","-0.42258","-0.07386"
"","0.04272","0.04290","0.21805","0.37468","0.35590","0.37264","0.32092","0.06519","0.63219","0.46001","0.21252","0.36770","0.18027","0.42071","0.71492","0.36226","0.29597","0.06329"
"female_married_workpaper","0.05277","-0.02745","-0.20382","0.52622","0.37874","-0.63052","0.65006","0.12794","-0.47378","0.24682","0.22380","-0.41876","0.02753","-0.55317","0.12606","-0.28715","0.39485","0.15171"
"","0.06041","0.03820","0.22983","0.50514","0.37327","0.40713","0.40241","0.07234","0.90124","0.48712","0.32969","0.38633","0.21598","0.49992","0.61771","0.32551","0.35442","0.13472"
"0.female","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.female","1.38456","0.58202","1.21365","1.65980","11.00802","-23.71522*","11.49293","2.87407","-21.73163","-9.92839","-1.93428","-3.74988","5.25117","-11.37024","16.89159","4.92206**","10.19107","3.86574*"
"","0.96503","1.14013","6.30144","9.25807","9.12623","10.14414","8.84694","1.81982","11.86817","10.60420","6.96494","8.63814","4.68907","10.87120","11.77539","1.82010","8.05248","1.86245"
