"","m1","m2","m3","m4","m5","m6","m7","m8","m9","m10","m11","m12","m13","m14","m15","m16","m17","m18"
"","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se"
"work_paper","-0.00635","-0.03252*","-0.06165","0.00744","-0.05831","0.08153","0.00299","-0.01877","-0.57821**","-0.35190*","0.01386","-0.29495***","0.03348","0.02129","-0.32871","-0.11066","-0.00795","-0.01017"
"","0.01230","0.01511","0.03876","0.14258","0.05727","0.10458","0.05272","0.03385","0.18904","0.16167","0.08257","0.07620","0.02676","0.14977","0.17466","0.12717","0.04080","0.01930"
"pandemic_workpaper","0.00444","0.04912*","0.11458*","-0.35023","-0.15572*","-0.39549**","0.16740*","0.03357","-0.68786*","-0.08814","-0.16775","-0.12977","0.19733**","-0.49952","0.86994**","0.33177","0.20508***","0.07632*"
"","0.01580","0.02080","0.05254","0.18196","0.07436","0.14990","0.07991","0.04328","0.30940","0.24406","0.10545","0.09507","0.07542","0.30177","0.32114","0.27943","0.05916","0.03376"
"0.pandemic","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.pandemic","-0.09818","-1.24658*","-2.79247*","7.64579","4.01206*","9.41954*","-4.77362*","-1.01220","18.01218*","3.09820","3.86398","4.93153*","-5.51866**","11.63713","-21.52074**","-7.92491","-5.39362***","-1.96195*"
"","0.38344","0.51626","1.28212","4.41436","1.86046","3.70572","1.95795","1.07633","7.71047","5.96995","2.56387","2.32273","1.86317","7.49398","7.99900","6.93739","1.46852","0.82856"
"0.male","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.male","0.06821","0.07415","0.02306","-3.52417***","-3.27781***","1.17750***","-1.33998***","-0.08389","5.24313***","4.52806***","-0.00535","0.06740","-1.67807***","2.33109***","-1.88439***","-0.90578***","-0.63031***","-0.38847***"
"","0.03719","0.04953","0.06382","0.23070","0.11493","0.14639","0.15075","0.06219","0.33645","0.32563","0.18969","0.19022","0.13682","0.23078","0.27252","0.21027","0.09493","0.07598"
"0.married","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.married","-0.05287","-0.27613***","1.22851***","4.88919***","3.73366***","-0.01286","0.95730***","0.21109","-5.55458***","-4.06253***","0.30167","-2.01852***","0.99260***","-0.76780","-0.23412","-0.72152","0.93357***","-0.06440"
"","0.05723","0.06390","0.16034","0.52066","0.23402","0.38786","0.21034","0.12647","0.76602","0.51963","0.29614","0.31520","0.16261","0.60840","0.77096","0.57350","0.17780","0.10676"
"0.black","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.black","-0.01844","0.07084","-0.63657***","-3.11387***","-1.81071***","-0.99180***","-0.35882**","0.04747","2.84010***","3.60254***","0.35724","0.91009**","-1.00187***","-1.02790***","0.85794*","-0.28342","1.20922***","0.34381***"
"","0.04171","0.04385","0.10538","0.29346","0.15283","0.20259","0.13829","0.07635","0.39758","0.36965","0.20880","0.28323","0.11595","0.29754","0.43004","0.32653","0.12774","0.06480"
"age","0.00387","0.04271","0.17036**","0.69991***","0.54143***","0.19813","-0.08047","0.04083","0.11488","0.77918**","-0.32868**","0.21202","-0.36262***","-0.18503","-1.03174**","-1.02528***","-0.18243**","0.01132"
"","0.01868","0.02458","0.05958","0.20520","0.08744","0.16581","0.08480","0.04889","0.31986","0.24248","0.12278","0.11063","0.06772","0.28111","0.32116","0.24538","0.06884","0.03508"
"age_sq","-0.00006","-0.00056","-0.00173*","-0.00581*","-0.00473***","-0.00184","0.00118","-0.00042","-0.00141","-0.00690*","0.00268","-0.00379**","0.00427***","0.00233","0.00957*","0.00881**","0.00251**","0.00027"
"","0.00023","0.00030","0.00073","0.00255","0.00107","0.00205","0.00105","0.00060","0.00396","0.00301","0.00151","0.00137","0.00083","0.00349","0.00398","0.00304","0.00085","0.00043"
"0.educ1","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.educ1","0.03090","-0.36621*","-2.12968***","-0.47385","0.13120","-0.01879","-0.66759","0.08132","1.56361","4.54977**","0.32274","1.50833*","-1.57855***","-3.23869*","1.37524","2.48389","-0.03763","0.73883***"
"","0.10488","0.14550","0.37037","1.24757","0.51988","0.95586","0.49634","0.28521","1.73763","1.44566","0.69303","0.67486","0.35595","1.55482","1.76809","1.32857","0.39043","0.19049"
"0.educ2","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.educ2","-0.03855","-0.10754","-0.80366***","0.99250*","0.87761***","0.20033","-0.38520","0.29977**","2.00880*","5.44215***","0.09634","0.89494**","-1.36106***","-3.06357***","-2.05155**","-1.07955","-0.52441**","0.38702***"
"","0.04593","0.05550","0.14734","0.48612","0.24411","0.37205","0.21395","0.10704","0.79451","0.55518","0.28899","0.29133","0.15850","0.62404","0.74130","0.56173","0.16591","0.08216"
"0.educ3","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.educ3","-0.01284","-0.07910","-0.56153***","0.79498","0.34424","0.08855","0.07530","0.28690**","-0.42859","2.36289***","0.19992","-0.10677","-0.68720***","-2.19744***","0.28706","0.68480","-0.23876","0.34753***"
"","0.03504","0.05337","0.10793","0.42239","0.21251","0.31250","0.17356","0.09325","0.65715","0.47879","0.23831","0.23437","0.15860","0.57755","0.67138","0.53383","0.13883","0.09245"
"0.hv_child","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.hv_child","-0.02659","-0.17516","18.27736***","1.09528","1.70111***","0.11617","-0.17454","-0.54747**","-10.38019***","-1.06894","-2.17102***","-0.49215","-1.60591***","-5.04218***","-8.79069***","-6.68828***","-1.03826***","-0.27800"
"","0.07498","0.08988","0.37328","0.75564","0.35048","0.48689","0.30381","0.19558","1.10565","0.84121","0.45113","0.49446","0.23696","0.79389","1.11113","0.85449","0.21375","0.19907"
"num_child","0.01547","-0.04399","0.32335**","1.02301***","1.01637***","-0.14258","0.22297*","-0.07375","-2.72931***","-1.39939***","-0.25042","-1.23463***","0.12632","0.02882","1.41147***","0.91456***","0.47736***","0.04134"
"","0.02633","0.02269","0.12109","0.21570","0.11117","0.15954","0.09477","0.05398","0.32394","0.22081","0.14083","0.13089","0.08486","0.26520","0.30205","0.23786","0.08338","0.06392"
