"","m1","m2","m3","m4","m5","m6","m7","m8","m9","m10","m11","m12","m13","m14","m15","m16","m17","m18"
"","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se"
"work_paper","0.04173","-0.01076","0.02724","-0.65694***","-0.23965***","-0.09404","-0.20000*","-0.12324**","-0.74208**","-0.18267","-0.09199","-0.27018","-0.05810","-0.13913","0.34080","0.43491","-0.09284","0.05155"
"","0.03336","0.03915","0.07763","0.16267","0.06563","0.12464","0.07874","0.04333","0.25157","0.29440","0.15668","0.14754","0.06128","0.24262","0.32845","0.30141","0.06033","0.08088"
"pandemic_workpaper","0.00015","0.02364","0.08217","0.49373","-0.06530","0.30387","0.10445","0.15071*","0.00266","-0.70631*","0.03826","-0.01074","0.20985","0.47159","-0.60234","-0.76296","0.10049","-0.09223"
"","0.04597","0.04142","0.23088","0.30168","0.23789","0.19825","0.16843","0.07277","0.55433","0.31866","0.35274","0.15633","0.11062","0.37038","0.57343","0.52572","0.06769","0.08671"
"0.pandemic","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.pandemic","0.10173","-0.53951","-1.84693","-11.74119","1.44595","-5.76651","-3.66512","-3.75552*","1.82917","16.55668*","-0.69992","0.54626","-5.61043*","-8.96343","12.19672","17.40495","-3.20074","1.96210"
"","1.08499","1.00962","5.11147","6.81466","5.28183","4.63116","3.79381","1.64060","12.45388","7.90050","7.81664","3.82032","2.57702","8.76791","13.10737","12.06409","1.63981","2.07805"
"0.male","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.male","0.11272","-0.09896","-0.12698","-2.91965***","-2.98750***","1.32147***","-1.24389***","-0.00973","5.73927***","4.23856***","1.41106**","-0.25977","-1.82134***","2.17075**","-2.70641***","-1.60377*","-0.55619**","-0.46706*"
"","0.13023","0.07094","0.16823","0.62852","0.34296","0.33632","0.20698","0.23677","0.84828","1.17160","0.48947","0.50027","0.36068","0.75027","0.76556","0.68522","0.17195","0.18871"
