table,outcome,column,estimate,se,pvalue,n
table04,worka_paper,beta,.6347276363088805,1.2302525,.60590136,150071
table04,worka_paper,delta,-.4438633896919955,1.5797923,.77873868,150071
table04,worka_paper,beta_plus_delta,.190864246616885,1.0085388,.84989822,150071
table04,worku_paper,beta,3.252148545595305,1.5108396,.031354547,150071
table04,worku_paper,delta,-4.912385342994796,2.079963,.018188125,150071
table04,worku_paper,beta_plus_delta,-1.66023679739949,1.4427288,.24983035,150071
table04,childcare_paper,beta,6.164567557918899,3.8762774,.11176002,150071
table04,childcare_paper,delta,-11.4584064044168,5.2543268,.02920145,150071
table04,childcare_paper,beta_plus_delta,-5.293838846497904,3.5965774,.14104515,150071
table04,home_paper,beta,-.7439454569321602,14.257606,.95838618,150071
table04,home_paper,delta,35.02346013405511,18.195925,.054254759,150071
table04,home_paper,beta_plus_delta,34.27951467712295,11.514003,.0029089202,150071
table04,homeproduction_paper,beta,5.831000363646816,5.7272167,.30862039,150071
table04,homeproduction_paper,delta,15.57185186960823,7.4363685,.036258828,150071
table04,homeproduction_paper,beta_plus_delta,21.40285223325504,4.8248987,9.1680995e-06,150071
table04,homeown_paper,beta,-8.153219520343841,10.458457,.43563724,150071
table04,homeown_paper,delta,39.5486649176136,14.99048,.0083334642,150071
table04,homeown_paper,beta_plus_delta,31.39544539726976,10.861689,.0038465934,150071
table04,shopping_paper,beta,-.2989501511719408,5.2724137,.9547835,150071
table04,shopping_paper,delta,-16.73972930483125,7.990756,.036181055,150071
table04,shopping_paper,beta_plus_delta,-17.03867945600319,6.0556769,.0048979423,150071
table04,othercare_paper,beta,1.877224099181598,3.3854742,.57924104,150071
table04,othercare_paper,delta,-3.357327805486327,4.3278799,.43790001,150071
table04,othercare_paper,beta_plus_delta,-1.48010370630473,2.7424002,.5893963,150071
table04,leisure_paper,beta,57.82108753983785,18.903559,.0022226924,150071
table04,leisure_paper,delta,68.78568686085191,30.940075,.026202947,150071
table04,leisure_paper,beta_plus_delta,126.6067744006898,24.70134,2.9674533e-07,150071
table04,tv_paper,beta,35.18960314628769,16.166798,.029506039,150071
table04,tv_paper,delta,8.814102663511484,24.405884,.7179898,150071
table04,tv_paper,beta_plus_delta,44.00370580979918,18.49119,.017326171,150071
table04,socializing_paper,beta,-1.385524563044656,8.2570038,.8667407,150071
table04,socializing_paper,delta,16.77522750464086,10.544754,.11164109,150071
table04,socializing_paper,beta_plus_delta,15.38970294159621,6.6892586,.021410916,150071
table04,sleeping_paper,beta,29.49478052955729,7.6199136,.00010850101,150071
table04,sleeping_paper,delta,12.97742913331166,9.5067959,.17223148,150071
table04,sleeping_paper,beta_plus_delta,42.47220966286894,5.7905664,2.2217849e-13,150071
table04,ep_paper,beta,-3.348337841451805,2.6760392,.21085094,150071
table04,ep_paper,delta,-19.73292597498916,7.5423813,.008889555,150071
table04,ep_paper,beta_plus_delta,-23.08126381644097,7.0901275,.0011322923,150071
table04,otherleisure_paper,beta,-2.129433612071735,14.976734,.88693565,150071
table04,otherleisure_paper,delta,49.95185334435692,30.176886,.097863302,150071
table04,otherleisure_paper,beta_plus_delta,47.82241973228519,26.330822,.06933748,150071
table04,other_paper,beta,32.87141395454679,17.466066,.059833869,150071
table04,other_paper,delta,-86.9944917022155,32.114471,.0067509208,150071
table04,other_paper,beta_plus_delta,-54.12307774766872,27.117792,.045950118,150071
table04,education_paper,beta,11.06585390181688,12.717175,.38421828,150071
table04,education_paper,delta,-33.1770626433218,27.943323,.23510994,150071
