Category,Average 2006-2008,Average 2009-2010,Difference (2009-2010 minus 2006-2008),Average 2017-March 2020,Average pandemic 2020,Difference (pandemic minus pre-pandemic)
Market work,32.537,30.419,-2.117,31.685,27.461,-4.223
Other income-generating activities,0.165,0.243,0.078,0.206,0.169,-0.037
Job search,0.275,0.429,0.153,0.314,0.283,-0.031
Childcare,4.574,4.477,-0.097,4.177,3.978,-0.199
Non-market work,17.781,17.588,-0.193,16.607,18.171,1.565
Core home production,9.381,9.386,0.006,9.359,10.447,1.088
Home ownership activities,2.171,2.117,-0.054,1.711,2.740,1.029
Obtaining goods and services,5.032,4.843,-0.190,4.420,3.905,-0.515
Others care,1.197,1.242,0.045,1.117,1.079,-0.038
Leisure,107.715,109.551,1.836,109.952,113.985,4.033
TV watching,17.558,18.578,1.020,17.874,19.222,1.347
Socializing,7.596,7.599,0.003,7.408,7.965,0.557
Sleeping,59.544,60.187,0.643,61.759,63.178,1.419
Eating and personal care,13.270,13.327,0.057,12.962,12.104,-0.858
Other leisure,9.748,9.861,0.113,9.949,11.516,1.567
Other,4.952,5.293,0.341,5.060,3.952,-1.108
Education,2.003,2.167,0.164,2.451,2.176,-0.275
Civic and religious activities,1.983,2.150,0.167,1.764,1.009,-0.756
Own medical care,0.967,0.977,0.010,0.845,0.767,-0.078
