Category,Average 2006-2008,Average 2009-2010,Difference (2009-2010 minus 2006-2008),Average 2017-March 2020,Average pandemic 2020,Difference (pandemic minus pre-pandemic)
Market work,38.167,35.102,-3.065,36.449,32.120,-4.329
Other income-generating activities,0.153,0.252,0.099,0.238,0.244,0.006
Job search,0.373,0.563,0.190,0.357,0.268,-0.089
Childcare,2.821,2.985,0.165,2.692,2.386,-0.306
Non-market work,13.787,14.045,0.258,13.188,14.601,1.413
Core home production,5.759,5.839,0.080,6.024,7.010,0.985
Home ownership activities,2.958,2.940,-0.018,2.410,3.596,1.185
Obtaining goods and services,3.937,4.054,0.117,3.700,3.081,-0.619
Others care,1.133,1.213,0.080,1.053,0.914,-0.139
Leisure,108.628,110.361,1.733,110.700,115.194,4.494
TV watching,19.295,20.339,1.044,19.150,20.764,1.615
Socializing,7.249,7.238,-0.011,7.629,8.816,1.186
Sleeping,58.888,59.395,0.507,60.999,62.271,1.272
Eating and personal care,12.761,12.843,0.082,12.373,11.679,-0.694
Other leisure,10.435,10.547,0.112,10.548,11.664,1.116
Other,4.072,4.692,0.620,4.376,3.187,-1.189
Education,1.544,1.980,0.437,2.298,1.729,-0.569
Civic and religious activities,1.751,1.886,0.135,1.417,0.861,-0.556
Own medical care,0.777,0.826,0.049,0.661,0.597,-0.064
