Category,Average 2006-2008,Average 2009-2010,Difference (2009-2010 minus 2006-2008),Average 2017-March 2020,Average pandemic 2020,Difference (pandemic minus pre-pandemic)
Market work,26.850,25.680,-1.170,26.869,22.735,-4.134
Other income-generating activities,0.177,0.233,0.056,0.173,0.094,-0.080
Job search,0.177,0.293,0.115,0.270,0.298,0.028
Childcare,6.345,5.987,-0.358,5.677,5.593,-0.084
Non-market work,21.816,21.174,-0.642,20.062,21.794,1.732
Core home production,13.039,12.977,-0.062,12.729,13.934,1.206
Home ownership activities,1.376,1.284,-0.093,1.004,1.872,0.868
Obtaining goods and services,6.139,5.641,-0.497,5.147,4.741,-0.406
Others care,1.262,1.272,0.009,1.182,1.246,0.065
Leisure,106.793,108.732,1.938,109.196,112.758,3.562
TV watching,15.804,16.796,0.992,16.585,17.656,1.071
Socializing,7.946,7.964,0.018,7.184,7.102,-0.082
Sleeping,60.206,60.988,0.782,62.526,64.098,1.572
Eating and personal care,13.783,13.816,0.033,13.558,12.535,-1.023
Other leisure,9.054,9.168,0.113,9.343,11.366,2.023
Other,5.841,5.902,0.060,5.752,4.729,-1.023
Education,2.466,2.355,-0.111,2.606,2.630,0.024
Civic and religious activities,2.217,2.418,0.200,2.116,1.159,-0.957
Own medical care,1.158,1.129,-0.029,1.031,0.940,-0.091
