Category,Beta,Beta SE,Beta p-value,Beta formatted,Delta 1 (female),Delta 1 (female) SE,Delta 1 (female) p-value,Delta 1 (female) formatted,Delta 2 (married),Delta 2 (married) SE,Delta 2 (married) p-value,Delta 2 (married) formatted,Delta 3 (female x married),Delta 3 (female x married) SE,Delta 3 (female x married) p-value,Delta 3 (female x married) formatted
Other income-generating activities,-1.205796,3.184320,0.704935,-1.206 (3.184),0.669634,4.240162,0.874515,0.670 (4.240),-1.174895,4.272253,0.783312,-1.175 (4.272),5.277244,6.041246,0.382371,5.277 (6.041)
Job search,-3.404291,2.845026,0.231472,-3.404 (2.845),4.270466,4.513592,0.344080,4.270 (4.514),0.477816,4.289942,0.911315,0.478 (4.290),-2.744986,3.819682,0.472361,-2.745 (3.820)
Childcare,-4.634986,3.135660,0.139367,-4.635 (3.136),16.090296,7.398395,0.029642,16.090** (7.398),-7.222890,21.804729,0.740453,-7.223 (21.805),-20.381710,22.982941,0.375176,-20.382 (22.983)
Non-market work,33.611860,14.648195,0.021756,33.612** (14.648),-50.449966,21.734587,0.020277,-50.450** (21.735),25.546605,37.468178,0.495352,25.547 (37.468),52.622035,50.513657,0.297533,52.622 (50.514)
Core home production,20.954618,6.953228,0.002581,20.955*** (6.953),-16.112992,9.069310,0.075626,-16.113* (9.069),-5.592951,35.589775,0.875126,-5.593 (35.590),37.873994,37.327065,0.310272,37.874 (37.327)
Home ownership activities,18.417276,11.168772,0.099148,18.417* (11.169),0.618849,6.686185,0.926256,0.619 (6.686),71.106857,37.264172,0.056368,71.107* (37.264),-63.051760,40.713421,0.121460,-63.052 (40.713)
Obtaining goods and services,-4.668995,4.938360,0.344427,-4.669 (4.938),-31.680908,12.627781,0.012113,-31.681** (12.628),-34.263077,32.092018,0.285678,-34.263 (32.092),65.006074,40.241394,0.106223,65.006 (40.241)
Others care,-1.091039,2.513938,0.664291,-1.091 (2.514),-3.274915,6.486641,0.613650,-3.275 (6.487),-5.704225,6.519028,0.381568,-5.704 (6.519),12.793727,7.234316,0.076981,12.794* (7.234)
Leisure,150.846650,29.451172,0.000000,150.847*** (29.451),3.168805,67.841125,0.962745,3.169 (67.841),-24.281510,63.218906,0.700915,-24.282 (63.219),-47.378252,90.124458,0.599098,-47.378 (90.124)
TV watching,62.134743,17.567814,0.000405,62.135*** (17.568),-31.001693,34.330952,0.366513,-31.002 (34.331),-22.347481,46.001293,0.627108,-22.347 (46.001),24.682417,48.712467,0.612368,24.682 (48.712)
Socializing,44.099537,8.796610,0.000001,44.100*** (8.797),-35.922501,14.954524,0.016301,-35.923** (14.955),-36.094056,21.251772,0.089432,-36.094* (21.252),22.379670,32.968609,0.497253,22.380 (32.969)
Sleeping,32.699878,9.391158,0.000498,32.700*** (9.391),35.187385,15.214992,0.020740,35.187** (15.215),9.553851,36.769932,0.794997,9.554 (36.770),-41.876201,38.632736,0.278384,-41.876 (38.633)
Eating and personal care,-25.589628,7.372870,0.000519,-25.590*** (7.373),4.775874,13.852174,0.730264,4.776 (13.852),-1.734957,18.026558,0.923326,-1.735 (18.027),2.753078,21.597651,0.898567,2.753 (21.598)
Other leisure,37.502121,23.179819,0.105689,37.502 (23.180),30.129739,32.667824,0.356369,30.130 (32.668),26.341133,42.071091,0.531243,26.341 (42.071),-55.317215,49.991882,0.268500,-55.317 (49.992)
Other,-75.213438,41.034168,0.066811,-75.213* (41.034),26.250766,45.848804,0.566949,26.251 (45.849),6.654872,71.492172,0.925836,6.655 (71.492),12.605670,61.771305,0.838299,12.606 (61.771)
Education,-56.841771,37.751522,0.132149,-56.842 (37.752),43.268404,32.916576,0.188682,43.268 (32.917),45.855017,36.226032,0.205584,45.855 (36.226),-28.715522,32.550774,0.377681,-28.716 (32.551)
Civic and religious activities,-5.125218,3.953009,0.194791,-5.125 (3.953),-14.296282,9.196962,0.120075,-14.296 (9.197),-42.257780,29.597485,0.153364,-42.258 (29.597),39.484584,35.442299,0.265257,39.485 (35.442)
Own medical care,-5.706475,2.236236,0.010716,-5.706** (2.236),-4.281547,10.993622,0.696938,-4.282 (10.994),-7.386387,6.329205,0.243197,-7.386 (6.329),15.170902,13.472022,0.260121,15.171 (13.472)
