Category,Singles,Singles SE,Singles p-value,Singles formatted,Married,Married SE,Married p-value,Married formatted,Singles with young kids,Singles with young kids SE,Singles with young kids p-value,Singles with young kids formatted,Married with young kids,Married with young kids SE,Married with young kids p-value,Married with young kids formatted
Other income-generating activities,-0.556974,2.810506,0.842908,-0.557 (2.811),3.600422,2.442771,0.140506,3.600 (2.443),-9.570498,12.484534,0.443326,-9.570 (12.485),-5.037026,1.933448,0.009182,-5.037*** (1.933)
Job search,0.799698,4.016965,0.842200,0.800 (4.017),-1.387410,0.830961,0.094990,-1.387* (0.831),-1.573745,10.497466,0.880830,-1.574 (10.497),1.496759,1.565499,0.339026,1.497 (1.565)
Childcare,11.346364,5.849655,0.052421,11.346* (5.850),-15.625663,9.374772,0.095559,-15.626* (9.375),151.888762,174.047810,0.382835,151.889 (174.048),5.116187,11.542113,0.657576,5.116 (11.542)
Non-market work,-16.224229,23.293373,0.486105,-16.224 (23.293),60.004726,14.645300,0.000042,60.005*** (14.645),-97.371485,136.060360,0.474208,-97.371 (136.060),76.219559,17.613989,0.000015,76.220*** (17.614)
Core home production,5.518156,9.187272,0.548086,5.518 (9.187),36.684121,11.014184,0.000867,36.684*** (11.014),-43.784644,65.614120,0.504577,-43.785 (65.614),64.035574,16.622156,0.000117,64.036*** (16.622)
Home ownership activities,18.039885,6.465072,0.005265,18.040*** (6.465),26.181945,9.679673,0.006834,26.182*** (9.680),-5.514471,13.124505,0.674364,-5.514 (13.125),11.899610,9.958075,0.232098,11.900 (9.958)
Obtaining goods and services,-35.473109,13.676157,0.009492,-35.473*** (13.676),-5.556080,6.816368,0.415010,-5.556 (6.816),-61.441218,76.321159,0.420799,-61.441 (76.321),2.502755,8.333210,0.763922,2.503 (8.333)
Others care,-4.309161,6.335247,0.496385,-4.309 (6.335),2.694740,4.494735,0.548818,2.695 (4.495),13.368843,12.713651,0.293013,13.369 (12.714),-2.218380,5.894130,0.706641,-2.218 (5.894)
Leisure,153.600302,80.408867,0.056102,153.600* (80.409),82.313873,14.158682,0.000000,82.314*** (14.159),43.450049,130.269730,0.738727,43.450 (130.270),45.683912,21.027903,0.029815,45.684** (21.028)
TV watching,31.502858,24.278013,0.194429,31.503 (24.278),33.498255,19.323008,0.082990,33.498* (19.323),-46.032365,129.057590,0.721331,-46.032 (129.058),-9.516119,19.843708,0.631545,-9.516 (19.844)
Socializing,8.400597,16.006283,0.599701,8.401 (16.006),-6.411242,8.618277,0.456929,-6.411 (8.618),2.795742,40.450649,0.944898,2.796 (40.451),-23.755001,15.638177,0.128753,-23.755 (15.638)
Sleeping,67.432573,18.417871,0.000251,67.433*** (18.418),35.883194,11.061443,0.001179,35.883*** (11.061),97.614601,109.295190,0.371789,97.615 (109.295),43.650065,14.167596,0.002063,43.650*** (14.168)
Eating and personal care,-20.492763,9.660843,0.033903,-20.493** (9.661),-19.519430,8.694636,0.024768,-19.519** (8.695),-43.401487,46.105396,0.346524,-43.401 (46.105),-1.438422,11.163937,0.897480,-1.438 (11.164)
Other leisure,66.757037,50.971729,0.190302,66.757 (50.972),38.863097,19.042179,0.041261,38.863** (19.042),32.473557,105.827750,0.758955,32.474 (105.828),36.743389,9.250583,0.000071,36.743*** (9.251)
Other,-48.965160,72.249557,0.497948,-48.965 (72.250),-28.905948,13.044161,0.026691,-28.906** (13.044),13.176916,71.938286,0.854665,13.177 (71.938),-23.479389,18.667919,0.208486,-23.479 (18.668)
Education,-14.254810,61.619316,0.817053,-14.255 (61.619),4.337282,6.679247,0.516101,4.337 (6.679),30.644453,86.344055,0.722656,30.644 (86.344),5.377139,8.756875,0.539184,5.377 (8.757)
Civic and religious activities,-18.960621,9.347076,0.042508,-18.961** (9.347),-22.162798,7.746704,0.004224,-22.163*** (7.747),-6.339948,21.436592,0.767418,-6.340 (21.437),-27.571673,12.172829,0.023512,-27.572** (12.173)
Own medical care,-9.834617,10.130679,0.331660,-9.835 (10.131),-2.104212,4.252633,0.620740,-2.104 (4.253),-10.576029,17.735315,0.550957,-10.576 (17.735),-1.254502,5.019774,0.802655,-1.255 (5.020)
