Category,Beta,Beta SE,Beta p-value,Beta formatted,Delta,Delta SE,Delta p-value,Delta formatted,Beta + Delta,Beta + Delta SE,Beta + Delta p-value,Beta + Delta formatted
Other income-generating activities,0.263456,1.103779,0.811350,0.263 (1.104),0.618607,1.455072,0.670735,0.619 (1.455),0.882063,1.010628,0.382779,0.882 (1.011)
Job search,1.047803,0.727107,0.149569,1.048 (0.727),0.494238,1.111669,0.656615,0.494 (1.112),1.542040,0.873460,0.077490,1.542* (0.873)
Childcare,5.155870,5.205195,0.321918,5.156 (5.205),-10.873117,6.399157,0.089291,-10.873* (6.399),-5.717246,4.054098,0.158469,-5.717 (4.054)
Non-market work,-5.380809,19.415375,0.781671,-5.381 (19.415),36.869959,22.258368,0.097630,36.870* (22.258),31.489150,12.300076,0.010465,31.489** (12.300)
Core home production,4.393013,7.579546,0.562193,4.393 (7.580),15.602386,9.021002,0.083708,15.602* (9.021),19.995398,5.390605,0.000208,19.995*** (5.391)
Home ownership activities,-9.787206,13.199904,0.458414,-9.787 (13.200),40.410103,17.762842,0.022907,40.410** (17.763),30.622898,12.628931,0.015316,30.623** (12.629)
Obtaining goods and services,-1.900056,6.584067,0.772900,-1.900 (6.584),-16.139481,9.562584,0.091455,-16.139* (9.563),-18.039537,7.285639,0.013285,-18.040** (7.286)
Others care,1.913441,4.415899,0.664792,1.913 (4.416),-3.003049,5.109891,0.556738,-3.003 (5.110),-1.089609,2.880631,0.705242,-1.090 (2.881)
Leisure,69.918075,22.316797,0.001730,69.918*** (22.317),55.617902,34.577412,0.107725,55.618 (34.577),125.535976,27.603014,0.000005,125.536*** (27.603)
TV watching,42.401779,20.712900,0.040646,42.402** (20.713),1.970909,26.891273,0.941574,1.971 (26.891),44.372688,18.409622,0.015939,44.373** (18.410)
Socializing,-2.967475,10.273993,0.772709,-2.967 (10.274),19.571282,11.608882,0.091817,19.571* (11.609),16.603807,6.202794,0.007432,16.604*** (6.203)
Sleeping,37.638990,9.059961,0.000033,37.639*** (9.060),4.579452,11.406671,0.688073,4.579 (11.407),42.218442,7.487680,0.000000,42.218*** (7.488)
Eating and personal care,-3.595260,3.625110,0.321312,-3.595 (3.625),-19.665629,8.132494,0.015599,-19.666** (8.132),-23.260890,7.505207,0.001940,-23.261*** (7.505)
Other leisure,-3.559959,18.241941,0.845274,-3.560 (18.242),49.161888,31.238834,0.115547,49.162 (31.239),45.601929,26.287336,0.082785,45.602* (26.287)
Other,28.995606,21.726006,0.182006,28.996 (21.726),-82.727589,36.345993,0.022839,-82.728** (36.346),-53.731984,30.248163,0.075672,-53.732* (30.248)
Education,6.158137,15.075315,0.682913,6.158 (15.075),-26.896018,28.999727,0.353689,-26.896 (29.000),-20.737881,25.566744,0.417293,-20.738 (25.567)
Civic and religious activities,0.988394,5.067798,0.845366,0.988 (5.068),-21.584681,7.171340,0.002614,-21.585*** (7.171),-20.596287,5.372351,0.000126,-20.596*** (5.372)
Own medical care,1.790467,2.428817,0.461015,1.790 (2.429),-7.979496,4.045883,0.048581,-7.979** (4.046),-6.189029,3.359498,0.065439,-6.189* (3.359)
