Category,Unemployed + employed,Unemployed + employed SE,Unemployed + employed p-value,Unemployed + employed formatted,Employed,Employed SE,Employed p-value,Employed formatted
Other income-generating activities,0.187097,1.015263,0.853790,0.187 (1.015),0.904292,1.050659,0.389408,0.904 (1.051)
Job search,-1.767974,1.402667,0.207512,-1.768 (1.403),1.538346,0.905571,0.089365,1.538* (0.906)
Childcare,-5.496403,3.531212,0.119584,-5.496 (3.531),-6.293428,4.264833,0.140036,-6.293 (4.265)
Non-market work,34.258666,11.249554,0.002324,34.259*** (11.250),32.415937,12.298500,0.008395,32.416*** (12.299)
Core home production,21.260360,5.101472,0.000031,21.260*** (5.101),20.263312,5.877800,0.000566,20.263*** (5.878)
Home ownership activities,31.864013,10.564837,0.002561,31.864*** (10.565),32.190535,12.890974,0.012520,32.191** (12.891)
Obtaining goods and services,-17.304745,6.265863,0.005749,-17.305*** (6.266),-18.811039,7.871247,0.016856,-18.811** (7.871)
Others care,-1.560962,2.811389,0.578739,-1.561 (2.811),-1.226872,3.065768,0.689021,-1.227 (3.066)
Leisure,127.546447,24.300209,0.000000,127.546*** (24.300),128.079849,28.558317,0.000007,128.080*** (28.558)
TV watching,43.209844,18.892738,0.022189,43.210** (18.893),43.630794,19.308121,0.023839,43.631** (19.308)
Socializing,15.751858,6.690264,0.018550,15.752** (6.690),17.508134,6.165114,0.004513,17.508*** (6.165)
Sleeping,42.975819,5.956681,0.000000,42.976*** (5.957),43.022287,7.984735,0.000000,43.022*** (7.985)
Eating and personal care,-23.045907,7.412999,0.001878,-23.046*** (7.413),-23.821498,8.258761,0.003922,-23.821*** (8.259)
Other leisure,48.654833,26.302124,0.064336,48.655* (26.302),47.740132,27.168793,0.078889,47.740* (27.169)
Other,-54.727833,26.373140,0.037974,-54.728** (26.373),-56.644997,30.772255,0.065654,-56.645* (30.772)
Education,-22.153657,24.756050,0.370852,-22.154 (24.756),-21.460938,26.018724,0.409470,-21.461 (26.019)
Civic and religious activities,-19.817444,4.625731,0.000018,-19.817*** (4.626),-21.348811,5.977817,0.000355,-21.349*** (5.978)
Own medical care,-6.751187,2.749564,0.014074,-6.751** (2.750),-6.548092,3.455439,0.058091,-6.548* (3.455)
