Variable,2003-2010 mean,2003-2010 SD,2003-2010 nonzero N,2003-2010 observed N,2017-2020 mean,2017-2020 SD,2017-2020 nonzero N,2017-2020 observed N
Male,0.4346,0.4957,48687.0000,112038,0.4554,0.4980,17321.0000,38033
Married,0.5140,0.4998,57585.0000,112038,0.4880,0.4999,18562.0000,38033
Black,0.1284,0.3345,14381.0000,112038,0.1346,0.3413,5118.0000,38033
Age,46.1909,17.5814,112038.0000,112038,50.6519,18.1498,38033.0000,38033
Some school education,0.1691,0.3748,18943.0000,112038,0.1102,0.3132,4193.0000,38033
High school graduates,0.2690,0.4434,30137.0000,112038,0.2317,0.4219,8811.0000,38033
Bachelor's degree,0.2665,0.4421,29858.0000,112038,0.2675,0.4427,10175.0000,38033
Bachelor's and higher,0.2954,0.4562,33100.0000,112038,0.3906,0.4879,14854.0000,38033
Have child,0.4778,0.4995,53530.0000,112038,0.3759,0.4844,14296.0000,38033
Number of children,0.9011,1.1549,53530.0000,112038,0.7029,1.0810,14296.0000,38033
Age of youngest child,7.5506,5.3372,49193.0000,53530,7.5421,5.2593,13194.0000,14296
Total sample size,,,,112038,,,,38033
