DATE,LFWA64TTUSM647S
1977-01-01,135236216.089375
1977-02-01,135427881.909291
1977-03-01,135637238.040419
1977-04-01,135781992.830453
1977-05-01,136110796.82822302
1977-06-01,136277855.041565
1977-07-01,136560336.308016
1977-08-01,136710741.887887
1977-09-01,136885582.992513
1977-10-01,137163424.056842
1977-11-01,137298719.204525
1977-12-01,137432810.851518
1978-01-01,137650359.524403
1978-02-01,137893253.380845
1978-03-01,138048215.808528
1978-04-01,138160352.619607
1978-05-01,138348469.982632
1978-06-01,138600213.511965
1978-07-01,138831968.994258
1978-08-01,138969504.568948
1978-09-01,139167962.738949
1978-10-01,139392984.742396
1978-11-01,139566581.09861
1978-12-01,139772063.77993202
1979-01-01,140016670.65750498
1979-02-01,140222967.441724
1979-03-01,140433723.951111
1979-04-01,140488505.581931
1979-05-01,140729196.13207802
1979-06-01,141072266.93522498
1979-07-01,141187416.946532
1979-08-01,141343750.382329
1979-09-01,141458608.771294
1979-10-01,141679040.294932
1979-11-01,141884188.573168
1979-12-01,142022999.683671
1980-01-01,142288497.652497
1980-02-01,142433336.820032
1980-03-01,142649862.569346
1980-04-01,142881304.40756997
1980-05-01,143319544.641838
1980-06-01,143617904.25472
1980-07-01,143759049.120744
1980-08-01,144022064.088373
1980-09-01,144029002.692899
1980-10-01,144078300.057136
1980-11-01,144205184.12785298
1980-12-01,144232245.595462
1981-01-01,144338028.050986
1981-02-01,144423597.569895
1981-03-01,144557632.541826
1981-04-01,144683115.412966
1981-05-01,144950943.374759
1981-06-01,145393606.963032
1981-07-01,145394784.23913398
1981-08-01,145507138.05328497
1981-09-01,145550051.228651
1981-10-01,145776213.679934
1981-11-01,146003180.93306398
1981-12-01,146187023.09922302
1982-01-01,146032030.263116
1982-02-01,146097481.532959
1982-03-01,146251629.843427
1982-04-01,146500721.198728
1982-05-01,146734694.44646
1982-06-01,146961576.39847
1982-07-01,147029224.501612
1982-08-01,147169117.840018
1982-09-01,147342048.101049
1982-10-01,147569703.411201
1982-11-01,147679583.755828
1982-12-01,147859321.786859
1983-01-01,147391836.032538
1983-02-01,147509829.51262298
1983-03-01,147818230.70914102
1983-04-01,148156818.644508
1983-05-01,148337591.371604
1983-06-01,148195096.377265
1983-07-01,148378391.42117998
1983-08-01,148528940.533889
1983-09-01,148699589.437825
1983-10-01,148870263.17417198
1983-11-01,148896652.070818
1983-12-01,149038105.81486398
1984-01-01,149129231.897938
1984-02-01,149260478.280409
1984-03-01,149429050.73006
1984-04-01,149610200.103962
1984-05-01,149690346.061617
1984-06-01,149813094.627136
1984-07-01,149962301.44448298
1984-08-01,150083770.143378
1984-09-01,150270067.738649
1984-10-01,150339448.74168602
1984-11-01,150471812.814941
1984-12-01,150687082.322753
1985-01-01,150527342.853812
1985-02-01,150675672.418356
1985-03-01,150803089.10407197
1985-04-01,150934876.141792
1985-05-01,150999894.190689
1985-06-01,151277299.28998
1985-07-01,151297314.071389
1985-08-01,151395321.543727
1985-09-01,151484974.175384
1985-10-01,151629254.490449
1985-11-01,151773817.346143
1985-12-01,151935943.082915
1986-01-01,152286660.13552198
1986-02-01,152445407.58309
1986-03-01,152599391.990796
1986-04-01,152760301.177652
1986-05-01,152925167.27629998
1986-06-01,153050614.77967402
1986-07-01,153140352.066237
1986-08-01,153289874.53882998
1986-09-01,153450480.79593402
1986-10-01,153576748.620012
1986-11-01,153744081.779696
1986-12-01,153806440.095653
1987-01-01,153836906.67189598
1987-02-01,154050401.88677198
1987-03-01,154187761.571663
1987-04-01,154346741.950633
1987-05-01,154530650.26282802
1987-06-01,154682061.98514
1987-07-01,154723999.765976
1987-08-01,154820178.100227
1987-09-01,154923416.596212
1987-10-01,155027955.694747
1987-11-01,155187375.378986
1987-12-01,155252682.855877
1988-01-01,155402903.320994
1988-02-01,155491810.21662602
1988-03-01,155617429.899228
1988-04-01,155643261.242035
1988-05-01,155835731.702349
1988-06-01,155978199.27672398
1988-07-01,156064586.331792
1988-08-01,156130956.100568
