year,work paper all,leisure paper all,home paper all,childcare all,work men,leisure men,home men,childcare men,work women,leisure women,home women,childcare women
2003,31.63040572,107.0577756,18.90269514,4.91499127,38.09942429,107.3629484,14.56957234,2.88315435,25.2059208,106.7547037,23.2059881,6.93284074
2004,31.39534636,107.3601634,18.95123633,4.82658643,37.10366468,108.5550948,14.58031925,2.87160882,25.78193244,106.1850986,23.24948415,6.7490613
2005,31.43167731,107.9782399,18.50861638,4.80743846,36.96586566,108.844102,14.42419646,2.96467018,25.9470351,107.1201296,22.55646957,6.63370891
2006,32.39564757,107.7304516,18.10987984,4.52300086,38.47380404,108.3409715,13.67836143,2.73808427,26.26175634,107.1143334,22.58203387,6.32428456
2007,32.90561339,107.2728552,18.07344993,4.49302229,37.85759811,108.5310619,14.45277253,2.70315497,27.92272436,106.0067963,21.71672323,6.2940598
2008,32.30639618,108.1465322,17.15407812,4.70793645,38.16883059,109.0146598,13.22593876,3.02282091,26.35756587,107.2656108,21.14010728,6.41788588
2009,30.67821002,109.311606,17.53884787,4.60129844,36.10746464,109.8019671,13.74823116,3.06412009,25.1068405,108.8084093,21.42868689,6.17871361
2010,30.14761436,109.8021604,17.63943102,4.3470578,34.0322772,110.9549692,14.36052646,2.90164888,26.27263314,108.6522246,20.91016368,5.78886437
2011,30.81869,109.7893,17.03775,4.424005,36.01514,110.3763,13.51703,2.725706,25.68955,109.21,20.51288,6.100305
2012,30.59293,110.6586,16.73971,4.33557,35.55796,111.3892,13.03508,2.906198,25.70352,109.9391,20.38791,5.743174
2013,30.19585,110.4881,17.32975,4.472272,35.39488,110.9346,13.61797,2.888746,24.89893,110.0333,21.11141,6.085612
2014,31.21623,109.9893,16.85823,4.484446,36.54855,110.7669,13.31001,2.812844,25.89882,109.214,20.39653,6.151373
2015,30.69829,109.6592,17.69642,4.297697,35.36802,110.7338,14.07867,2.608743,26.06043,108.592,21.28948,5.975128
2016,31.56649,109.3413,17.20642,4.424937,37.75938,109.5367,13.59007,2.861845,25.31751,109.144,20.85553,6.002189
2017,31.49904,109.4581,16.82352,4.315841,36.90299,110.012,12.9581,2.817471,26.14313,108.9083,20.65457,5.800889
2018,31.68124,110.1444,16.67544,4.208245,36.13874,111.5256,13.07396,2.617369,27.25196,108.7721,20.25412,5.789049
2019,31.84476,110.2158,16.36726,4.032891,36.31811,110.6176,13.46806,2.64692,27.18463,109.7972,19.38751,5.476729
2020,27.46128,113.9849,18.17147,3.978082,32.12027,115.1943,14.60075,2.385925,21.79389,112.758,22.73485,5.593291
